query_label,split,well_id,view,query_grid_valid_points,provided_label,provided_in_primary_pool,provided_rank_by_z_rmse,primary_pool_candidates,provided_overlap_grid_points,provided_coverage_query,provided_coverage_candidate,provided_corr,provided_raw_rmse,provided_resid_std,provided_z_rmse,best_label,best_split,best_well_id,best_is_provided,best_overlap_grid_points,best_coverage_query,best_coverage_candidate,best_corr,best_raw_rmse,best_resid_std,best_z_rmse,best_minus_provided_z_rmse,best_minus_provided_raw_rmse
horizontal:train:071d7b45:hidden,train,071d7b45,hidden,49,typewell:train:071d7b45,True,1.0,318,49.0,1.0,0.04549675062298775,0.8381186723709106,7.0583391189575195,7.011300563812256,0.5690014362335205,typewell:train:071d7b45,train,071d7b45,True,49.0,1.0,0.04549675062298775,0.8381186723709106,7.0583391189575195,7.011300563812256,0.5690014362335205,0.0,0.0
horizontal:train:071d7b45:full,train,071d7b45,full,568,typewell:train:071d7b45,True,1.0,272,560.0,0.98591548204422,0.5199628472328186,0.7623537182807922,13.197233200073242,12.775835037231445,0.6894146800041199,typewell:train:071d7b45,train,071d7b45,True,560.0,0.98591548204422,0.5199628472328186,0.7623537182807922,13.197233200073242,12.775835037231445,0.6894146800041199,0.0,0.0
horizontal:train:0849b4e2:prefix,train,0849b4e2,prefix,1023,typewell:train:0849b4e2,True,7.0,348,1023.0,1.0,0.44711539149284363,0.8665492534637451,12.601261138916016,12.46522045135498,0.5166251063346863,typewell:train:12203f2a,train,12203f2a,False,891.0,0.8709677457809448,0.4592783451080322,0.8817045092582703,12.334470748901367,12.142182350158691,0.4864061772823334,-0.030218929052352905,-0.26679039001464844
horizontal:train:0849b4e2:hidden,train,0849b4e2,hidden,83,typewell:train:0849b4e2,True,1.0,263,83.0,1.0,0.03627622500061989,0.9083197116851807,6.8263750076293945,6.825451850891113,0.4282062351703644,typewell:train:0849b4e2,train,0849b4e2,True,83.0,1.0,0.03627622500061989,0.9083197116851807,6.8263750076293945,6.825451850891113,0.4282062351703644,0.0,0.0
horizontal:train:0849b4e2:full,train,0849b4e2,full,1031,typewell:train:0849b4e2,True,7.0,360,1031.0,1.0,0.4506118893623352,0.8687760233879089,12.395049095153809,12.267228126525879,0.512296736240387,typewell:train:12203f2a,train,12203f2a,False,899.0,0.8719689846038818,0.46340206265449524,0.8840972781181335,12.094962120056152,11.91389274597168,0.481461763381958,-0.030834972858428955,-0.30008697509765625
horizontal:train:084d66f9:prefix,train,084d66f9,prefix,676,typewell:train:084d66f9,True,1.0,429,676.0,1.0,0.3281553387641907,0.7252950668334961,17.275312423706055,17.27399253845215,0.7412218451499939,typewell:train:084d66f9,train,084d66f9,True,676.0,1.0,0.3281553387641907,0.7252950668334961,17.275312423706055,17.27399253845215,0.7412218451499939,0.0,0.0
horizontal:train:084d66f9:hidden,train,084d66f9,hidden,87,typewell:train:084d66f9,True,1.0,414,87.0,1.0,0.04223300889134407,0.7950722575187683,9.693136215209961,9.34823226928711,0.6401995420455933,typewell:train:084d66f9,train,084d66f9,True,87.0,1.0,0.04223300889134407,0.7950722575187683,9.693136215209961,9.34823226928711,0.6401995420455933,0.0,0.0
horizontal:train:084d66f9:full,train,084d66f9,full,720,typewell:train:084d66f9,True,1.0,441,720.0,1.0,0.34951457381248474,0.7331152558326721,16.675830841064453,16.673280715942383,0.7305952906608582,typewell:train:084d66f9,train,084d66f9,True,720.0,1.0,0.34951457381248474,0.7331152558326721,16.675830841064453,16.673280715942383,0.7305952906608582,0.0,0.0
horizontal:train:08fecf00:prefix,train,08fecf00,prefix,1033,typewell:train:08fecf00,True,14.0,296,1033.0,1.0,0.46573489904403687,0.8308956623077393,15.16661262512207,15.150022506713867,0.5815570950508118,typewell:train:89f36adf,train,89f36adf,False,877.0,0.8489835262298584,0.49186763167381287,0.8668598532676697,14.105159759521484,13.890179634094238,0.5160235166549683,-0.0655335783958435,-1.061452865600586
horizontal:train:08fecf00:hidden,train,08fecf00,hidden,33,typewell:train:08fecf00,True,1.0,252,33.0,1.0,0.014878268353641033,0.7714569568634033,4.785948753356934,4.784786224365234,0.6760814189910889,typewell:train:08fecf00,train,08fecf00,True,33.0,1.0,0.014878268353641033,0.7714569568634033,4.785948753356934,4.784786224365234,0.6760814189910889,0.0,0.0
horizontal:train:08fecf00:full,train,08fecf00,full,1043,typewell:train:08fecf00,True,14.0,297,1043.0,1.0,0.4702434539794922,0.8308099508285522,15.106080055236816,15.090659141540527,0.5817044973373413,typewell:train:89f36adf,train,89f36adf,False,887.0,0.8504314422607422,0.49747616052627563,0.8665435314178467,14.04104995727539,13.834053039550781,0.5166361927986145,-0.0650683045387268,-1.0650300979614258
horizontal:train:09053135:prefix,train,09053135,prefix,914,typewell:train:09053135,True,1.0,480,914.0,1.0,0.4924568831920624,0.8897978663444519,12.848383903503418,12.816469192504883,0.46947231888771057,typewell:train:09053135,train,09053135,True,914.0,1.0,0.4924568831920624,0.8897978663444519,12.848383903503418,12.816469192504883,0.46947231888771057,0.0,0.0
