segment_type,segment,wells,rows,pf_pooled_rmse,beam_pooled_rmse,ml_pooled_rmse,last_anchor_pooled_rmse,pf_minus_beam_rmse,pf_minus_ml_rmse,beam_minus_ml_rmse,pf_beats_ml_wells,beam_beats_ml_wells,pf_beats_beam_wells,best_pf_wells,best_beam_wells,best_ml_wells,best_last_anchor_wells,mean_pf_beam_abs_diff,mean_pf_std,mean_beam_spread,mean_prefix_length,mean_eval_length,mean_pfx_rmse,mean_likpf_abs_delta
pf_minus_ml_rmse_bucket,5-10,125,624688,15.89867086558042,15.377576486740741,9.274083392331603,15.284342776858015,0.5210943788396794,6.624587473248818,6.103493094409139,0,19,37,0,10,105,10,10.154612839518908,1.2692488751794062,3.2190279869305907,1693.5159023384474,5442.1704146710035,13.524042154626471,9.27755937767015
pf_minus_ml_rmse_bucket,<-10,13,62904,11.156213031413584,31.241897433060693,25.00942086471113,32.57513819416394,-20.085684401647107,-13.853207833297548,6.232476568349561,13,7,13,13,0,0,0,18.73011814949344,1.2670592025691212,5.261331588100408,1672.1340296324558,5106.737472974692,14.011916665140532,22.743094865894772
pf_std_bucket,pf_std_q1_0.172_0.791,194,911604,15.787474541884954,15.470896494135605,10.274476282657398,15.907932225504464,0.31657804774934917,5.512998259227556,5.196420211478207,54,35,107,47,12,124,11,9.574345510800375,0.5680395814395747,3.0635921429619946,1701.8489925450085,5082.284597259336,12.92305449483844,9.383755968555022
pf_std_bucket,pf_std_q2_0.791_1.13,193,963319,14.759088861131652,17.074397993100284,10.032842844958498,17.251126267323713,-2.3153091319686325,4.726246016173153,7.041555148141786,63,31,125,55,15,115,8,9.849798118241653,0.9511048072786968,3.340757193315346,1665.4125248230337,5295.278213136044,13.57003528183364,9.232375648488645
pf_std_bucket,pf_std_q3_1.13_1.74,193,950820,13.523957039453917,14.86180250602078,8.38338499969305,15.13370361754989,-1.337845466566863,5.140572039760867,6.47841750632773,59,28,122,53,15,117,8,9.447028560543986,1.407490238351105,3.117624862096081,1686.0550987568624,5271.352499947414,14.268041812952086,9.538587305019753
pf_std_bucket,pf_std_q4_1.74_16.5,193,958246,13.852040839325314,15.577437443611787,9.32808945598093,15.243933809722408,-1.7253966042864732,4.523951383344384,6.249347987630857,58,30,124,52,11,108,22,10.527541955535916,2.4469053910220233,3.0190964670108027,1708.8412328358272,5305.783615063356,15.707166474592638,8.446734037479327
pfx_rmse_bucket,pfx_rmse_q1_4.57_11.9,194,969821,13.193192956565643,15.051149738858424,8.449625040239216,15.412437338305617,-1.8579567822927814,4.743567916326427,6.601524698619208,63,33,118,56,16,114,8,9.69944691196079,1.0849041809675446,2.8724810133091103,1654.6000385638174,5433.443083826809,10.15199454626988,8.176757898501618
pfx_rmse_bucket,pfx_rmse_q2_11.9_13.7,193,974101,15.406199374615122,15.080304387131932,10.557413783911636,15.312032403022751,0.32589498748319023,4.848785590703486,4.522890603220295,53,35,109,47,14,113,19,10.28759994871012,1.291234898351009,3.1798371046013236,1690.7236231150569,5314.13001013242,12.761008489869122,9.417168765425323
pfx_rmse_bucket,pfx_rmse_q3_13.7_15.9,193,929983,14.081467609154757,15.501349340856386,8.720161582995663,15.559739859342855,-1.4198817317016292,5.3613060261590935,6.781187757860723,51,33,115,45,15,122,11,9.253018759164886,1.3989489179114014,3.28948658275866,1699.112192373409,5194.677637118098,14.750557886442012,9.023789990772771
pfx_rmse_bucket,pfx_rmse_q4_15.9_61.3,193,910084,15.205103393552386,17.442170974270695,10.210114958599489,17.34833902236358,-2.2370675807183087,4.994988434952898,7.232056015671207,67,23,136,59,8,115,11,10.16814838762945,1.6548987601815845,3.2149707083897154,1719.1975378096968,5003.382035064895,19.20345071534276,10.016970651809302
prefix_length_bucket,0500-1000,1,4428,6.71119189417471,7.682225554202151,5.87681245803833,7.229814387531813,-0.971033660027441,0.8343794361363797,1.8054130961638206,0,0,1,0,0,1,0,1.6616735194803347,0.9348320182332882,0.1047361870347786,851.0,4428.0,8.501345000000002,4.022486519740854
prefix_length_bucket,1000-1500,148,719851,16.03241187140258,18.3141582992142,10.578330099275064,18.28976665493776,-2.281746427811619,5.454081772127516,7.735828199939135,44,22,91,40,11,87,10,11.255508658901865,1.2357807003953833,3.337789638406473,1386.3042407387084,5194.407935808938,13.534812408042221,10.47437448890664
prefix_length_bucket,1500-2500,624,3059710,14.114975529312343,15.123983153547679,9.265928622093986,15.30573968437189,-1.0090076242353359,4.849046907218357,5.858054531453693,190,102,386,167,42,376,39,9.535956332198664,1.3803054044529655,3.0934826942006834,1763.1279892538835,5252.661023430325,14.279117219336278,8.841923096829117
tail_length_bucket,0000-1000,2,1318,1.5973993321530886,3.385441720283736,1.1173550274586523,3.3134996364520988,-1.7880423881306473,0.48004430469443626,2.268086692825084,0,0,2,0,0,2,0,2.2608250727544696,0.5230134552655538,2.1975928426858875,1685.5599393019727,755.3641881638847,15.273339103945375,1.6996358989916542
tail_length_bucket,1000-2500,11,22925,11.377085617727802,11.34169914017797,4.790881045814343,12.203738897189977,0.035386477549831596,6.586204571913459,6.550818094363628,3,1,5,3,1,7,0,4.7985854034645525,1.0469696952386478,2.046811491096968,1610.6251254089423,2119.907655398037,14.936703335921482,7.1821726766149405
tail_length_bucket,2500-5000,419,1705415,13.065789180898472,15.449867363445302,8.899508230138794,15.56624633893827,-2.38407818254683,4.166280950759678,6.550359133306507,138,76,266,119,31,239,30,8.958966529065439,1.3877492380210725,2.7050945742372985,1703.5025404373716,4174.445773609356,14.254309786628063,9.124843810516104
tail_length_bucket,5000+,341,2054331,15.612009677175974,16.085189364062604,10.057564673724062,16.23024105500761,-0.47317968688662937,5.554445003451912,6.027624690338541,93,47,205,85,21,216,19,10.658051094087831,1.3267930919792106,3.507324998251276,1680.3704602617593,6163.402829923708,14.018472213046339,9.191792414798185
