experiment,config_path,parse_error,status,route,metrics_status,metrics_cv,has_sig_p,sig_p_entries,local_contract_count,numeric_sig_p_values,numeric_step_values,numeric_momentum_values,nondefault_sig_p_values,nondefault_step_values,nondefault_momentum_values,position_sigma_schedule_paths,momentum_schedule_paths,has_position_intervention_design,has_momentum_intervention_design,terminal_without_run,has_recorded_metric,completed_position_intervention,completed_momentum_intervention
exp324_exp226_donor_covariance_segment_sig_r,/home/kento/work/kaggle/ROGII/experiments/exp324_exp226_donor_covariance_segment_sig_r/config.yaml,,closed_without_run_upstream_exp307_chain_failed,pf_beam,closed_without_run_upstream_exp307_chain_failed,null,True,"[[""model.fixed_parent.sig_p"", ""exact_exp323_parent""]]",1,[],[],[0.998],[],[],[],[],[],False,False,True,False,False,False
exp325_exp226_window_likelihood_hmm_tempering,/home/kento/work/kaggle/ROGII/experiments/exp325_exp226_window_likelihood_hmm_tempering/config.yaml,,closed_without_run_upstream_exp307_chain_failed,pf_beam,closed_without_run_upstream_exp307_chain_failed,null,True,"[[""model.fixed_parent.sig_p"", ""exact_exp323""]]",1,[],[],[0.998],[],[],[],[],[],False,False,True,False,False,False
exp326_residual_rate_time_varying_momentum,/home/kento/work/kaggle/ROGII/experiments/exp326_residual_rate_time_varying_momentum/config.yaml,,closed_without_run_upstream_exp307_chain_failed,pf_beam,closed_without_run_upstream_exp307_chain_failed,null,True,"[[""model.fixed_parent.sig_p"", ""exact_exp323""]]",1,[],[],[],[],[],[],[],"[""model.momentum_schedule"", ""model.momentum_schedule.state_coordinate"", ""model.momentum_schedule.base_momentum"", ""model.momentum_schedule.base_correlation_length"", ""model.momentum_schedule.change_score"", ""model.momentum_schedule.change_score_clip"", ""model.momentum_schedule.correlation_length_formula"", ""model.momentum_schedule.momentum_formula"", ""model.momentum_schedule.fallback"", ""model.momentum_schedule.parameter_grid""]",False,True,True,False,False,False
exp327_time_varying_position_sigma_floor_audit,/home/kento/work/kaggle/ROGII/experiments/exp327_time_varying_position_sigma_floor_audit/config.yaml,,closed_without_run_upstream_exp307_chain_failed,pf_beam,closed_without_run_upstream_exp307_chain_failed,null,False,[],0,[],[],[],[],[],[],"[""model.position_sigma_schedule"", ""model.position_sigma_schedule.grid_step_ft"", ""model.position_sigma_schedule.base_sig_p_argument_ft"", ""model.position_sigma_schedule.effective_floor_formula"", ""model.position_sigma_schedule.effective_floor_ft"", ""model.position_sigma_schedule.transition_mean_per_rate_state"", ""model.position_sigma_schedule.quantization_residual_per_state"", ""model.position_sigma_schedule.row_quantization_scale"", ""model.position_sigma_schedule.formula"", ""model.position_sigma_schedule.clip_ft"", ""model.position_sigma_schedule.fallback_ft"", ""model.position_sigma_schedule.parameter_grid""]",[],True,False,True,False,False,False
exp331_prefix_gr_unary_local_ce_exact_ssm,/home/kento/work/kaggle/ROGII/experiments/exp331_prefix_gr_unary_local_ce_exact_ssm/config.yaml,,stage_a_failed_branch_closed,ensemble,stage_a_failed_branch_closed,24.76036012725314,True,"[[""model.state_space.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp332_prefix_gr_unary_fixed_window_structured_ssm,/home/kento/work/kaggle/ROGII/experiments/exp332_prefix_gr_unary_fixed_window_structured_ssm/config.yaml,,stage0_runtime_gate_failed_branch_closed,ensemble,stage0_runtime_gate_failed_branch_closed,null,True,"[[""model.state_space.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,False,False,False
exp337_prefix_backtested_structure_sigma_gr,/home/kento/work/kaggle/ROGII/experiments/exp337_prefix_backtested_structure_sigma_gr/config.yaml,,stage0_gate_failed_branch_closed,pf_beam,stage0_gate_failed_branch_closed,null,True,"[[""model.fixed_hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,False,False,False
exp338_exp209_well_adaptive_transition_noise,/home/kento/work/kaggle/ROGII/experiments/exp338_exp209_well_adaptive_transition_noise/config.yaml,,train_side_adaptive_sig_r_gate_failed_closed,pf_beam,train_side_adaptive_sig_r_gate_failed_closed,14.062348052437676,True,"[[""model.fixed_exp209_hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp341_missing_gap_calibrated_soft_variance_exp226_residual_hmm,/home/kento/work/kaggle/ROGII/experiments/exp341_missing_gap_calibrated_soft_variance_exp226_residual_hmm/config.yaml,,closed_without_run_dependency_exp339_gate_failed,pf_beam,closed_without_run_dependency_exp339_gate_failed,null,True,"[[""model.fixed_parent.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,True,False,False,False
exp342_exp226_student_t_residual_offset_emission_audit,/home/kento/work/kaggle/ROGII/experiments/exp342_exp226_student_t_residual_offset_emission_audit/config.yaml,,stage_1_override_completed_guard_failed_closed,pf_beam,stage_1_override_completed_guard_failed_closed,null,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,False,False,False
