episode_id,well,rows,episode_sse,mean_error_ft,rmse_ft,pre128_true_minus_init_rate_median,observed_emission_evidence_class,viterbi_recovery_class,pre128_kernel_bias_sum_ft,pre128_rate_mean_reversion_position_bias_sum_ft,onset_kernel_bias_sum_ft,pre128_bias_sign_matches_episode_error,pre128_rate_mean_reversion_bias_sign_matches_episode_error,onset_bias_sign_matches_episode_error,episode_kernel_bias_mean_ft_per_row,episode_representation_error_abs_mean_ft_per_row,episode_supported_representation_error_abs_mean_ft_per_row,episode_supported_compensating_rate_shift_abs_mean,episode_supported_compensating_diffusion_rows_proxy_median,episode_true_rate_outside_fraction,episode_true_nearest_rate_edge_fraction,episode_best_compensating_rate_edge_fraction,episode_best_compensating_rate_edge_log_mass_loss_sum
197f8a5a:000,197f8a5a,1415,905893.9134085109,-23.821390106007232,25.30232623013527,0.0,truth_strong,not_better,-4.220799869071806,-0.011159999999996225,-4.057543125751808,True,True,True,0.0055803086761232355,0.0022235056782481835,0.0022235056782481835,0.04037102473498866,506.24999997380655,0.0,0.0,0.06007067137809187,5.259409316037421
197f8a5a:001,197f8a5a,3289,1494671.6524920198,-20.96700577683201,21.317730238635114,-0.0100000000002182,truth_strong,not_better,0.05836579249901226,-0.008740000000001608,3.990958885830892,False,True,False,0.0008447643678303414,0.0005826395386383544,0.0005826395386383544,0.02972788081496215,306.2499999885404,0.0,0.0,0.010033444816053512,2.041888322696881
19871e7f:000,19871e7f,3461,605834.7306372655,-13.140733747472,13.230500806298174,0.0,truth_strong,partial_recovery,-1.3223730335504085,-0.009720000000001172,-2.2144626595145986,True,True,True,0.00197644919940288,0.0010499844690972262,0.0002711372343322,0.01654513888929345,156.24999997999112,0.001444669170759896,0.001444669170759896,0.0020225368390638545,0.43312782602661115
19fb4f7b:000,19fb4f7b,1005,201724.20555024585,14.098336815920248,14.167589863401538,-1.8189894035458565e-12,truth_strong,partial_recovery,3.898160519372818,-0.004319999999999713,4.250820586811237,True,False,True,0.0013408323875463955,0.001557817911589402,0.00055788907645677,0.030273556231092173,156.25000001455186,0.01791044776119403,0.01890547263681592,0.04776119402985075,2.9700193784681908
1a68190b:000,1a68190b,2155,688815.2715535084,-17.358773549884102,17.878362812891382,0.0100000000002182,candidate_strong,not_better,-4.326834059920789,0.006340000000000151,-3.4764262690021597,True,False,True,-0.001925538688385954,0.0025987384357511432,0.0008892924827504168,0.030401578458801305,225.0000000043657,0.0004640371229698376,0.0004640371229698376,0.13549883990719258,18.067617885681493
1aaf1da0:000,1aaf1da0,223,25794.056142000954,-10.748775784753562,10.754925066816105,0.0300000000006548,truth_strong,not_better,-1.2552442641921489,-0.017640000000003073,-4.409333397485359,True,True,True,-0.0007016051329611456,0.0020857389560432673,0.0019734602840960585,0.018144796380225155,100.00000000072765,0.008968609865470852,0.008968609865470852,0.40358744394618834,5.568786334627858
1aaf1da0:001,1aaf1da0,134,15693.200300750388,-10.813078358209086,10.821896094503346,1.8189894035458565e-12,truth_strong,not_better,-1.6016999059564383,-0.0099200000000019,-1.473835331345672,True,True,True,-0.009329720287796927,0.0005336664235964596,0.0005336664235964596,0.027835820895652157,156.2500000118235,0.0,0.0,0.03731343283582089,0.30937701859043654
1b1c5372:000,1b1c5372,2159,2627157.9320644806,33.22281936081506,34.88323626517267,0.0,truth_strong,partial_recovery,0.43873260293305655,0.010520000000000442,-3.287750944171531,True,True,False,0.0074955009037085685,0.002374985854997255,0.002374985854997255,0.02979620194552317,399.99999997380667,0.0,0.0,0.2880963408985642,38.4865011126503
1b1eba53:000,1b1eba53,4263,1575651.561072772,-18.63004046446179,19.22526902420252,0.0200000000004365,truth_strong,not_better,-5.889667857647185,-0.0045400000000008775,-6.581894772164027,True,True,True,-0.006928525254430425,0.0016225832397462718,0.001489472068853884,0.03465042372888046,400.000000008731,0.003518648838845883,0.0063335679099225895,0.06427398545625147,16.953860618755925
1b6ba517:000,1b6ba517,1023,715830.5269380083,-24.35306256109497,26.452534575577985,-0.0199999999986175,truth_strong,large_recovery,-1.9685837259110128,-0.008440000000002336,-1.2470489131260534,True,True,True,-0.01009559153560021,0.007205224309291389,0.007058808382970224,0.02038235294129745,156.24999997999112,0.002932551319648094,0.005865102639296188,0.34017595307917886,21.53264049389438
1b82b665:000,1b82b665,2028,605280.9385705112,-16.94539891518753,17.27605282660106,0.0200000000004365,candidate_strong,large_recovery,-2.33199704811958,0.00917999999999666,-3.8325092509417593,True,False,True,0.00082597939540533,0.0004827914605770705,0.0004827914605770705,0.02785502958594305,156.2500000118235,0.0,0.0,0.004437869822485207,0.5568786334627858
1bcb2fcf:000,1bcb2fcf,590,169898.3744055028,-16.065937288135746,16.969482798541762,0.0299999999988358,candidate_strong,large_recovery,-0.41945871197502743,-0.012540000000000884,-2.052406917981859,True,True,True,-0.019359751005526407,0.002384036457521178,0.002384036457521178,0.03499152542380071,400.0000000101865,0.0,0.0,0.5186440677966102,18.933873537734716
1beca81d:000,1beca81d,241,39280.902744251216,-12.694678423236716,12.766804521648652,-1.8189894035458565e-12,near_tie,large_recovery,-2.290979305225176,0.0037799999999988385,-2.3933502459090708,True,False,True,0.001956720447896669,0.008681687535613089,0.008537391345261817,0.03677083333334697,400.0000000101865,0.004149377593360996,0.004149377593360996,0.42323651452282157,6.311291179244905
1beca81d:001,1beca81d,229,28272.254815000564,-11.094973799126748,11.111238815411308,0.0100000000002182,near_tie,large_recovery,-2.0636241305203136,0.001799999999999274,-2.358985131864436,True,False,True,-0.0006178509458794096,0.0006813800965335846,0.0006813800965335846,0.03663755458517,400.0000000000002,0.0,0.0,0.0,0.0
1beca81d:002,1beca81d,720,98357.59172175266,-11.661463194444604,11.687932506658823,0.0100000000002182,near_tie,large_recovery,0.6916261014755545,0.0029600000000027677,-2.1898938567129127,False,False,True,0.005507584257555863,0.0010990887506262478,0.000603516333753456,0.02536161335206786,156.25000000818542,0.001388888888888889,0.001388888888888889,0.06388888888888888,2.8462685710320166
1beca81d:003,1beca81d,167,38708.15819649936,15.050005988023823,15.224499283134136,-0.0599999999976716,near_tie,large_recovery,1.6843929996703122,0.011879999999997391,1.5321968546895084,True,True,True,0.008616960121402712,0.004693911141071443,0.0003933052344944048,0.017967741935754258,156.2499999890861,0.0718562874251497,0.0718562874251497,0.08383233532934131,0.8662556520532223
1d3fbf02:000,1d3fbf02,2078,776699.7494434881,18.744692974013336,19.33320299231366,-0.0299999999979263,near_tie,large_recovery,1.363913109804174,0.009200000000000735,1.6423046432288135,True,True,True,-0.0044558199746848855,0.0007679758666757219,0.0007679758666757219,0.02205967276247145,156.24999999454312,0.0,0.0,0.04956689124157844,6.373166582962992
1d78281a:000,1d78281a,2175,769037.1530685097,-18.325086896551845,18.80373101970414,0.0100000000020372,candidate_strong,partial_recovery,-2.9644507221903336,0.006700000000000733,-3.654749790312247,True,False,True,0.001088141545584828,0.0005115338298710235,0.0005115338298710235,0.030379310344946685,399.9999999447027,0.0,0.0,0.016091954022988506,2.165639130133055
1e30dedf:000,1e30dedf,634,597734.8057942545,-28.46221687697173,30.70503831986497,0.0099999999983992,truth_strong,large_recovery,-2.4451061211655665,-0.017859999999996958,-1.9239315070098881,True,True,True,-0.017821403351099597,0.013926107535041756,0.006702483149139027,0.028301737757958394,224.99999999672596,0.0015772870662460567,0.0015772870662460567,0.6514195583596214,25.554541734649487
1e5e3573:000,1e5e3573,467,57066.66026524904,11.037607066381064,11.05433923785334,0.0099999999956708,near_tie,large_recovery,3.3870110625863945,0.009499999999996369,6.849536139117356,True,True,True,0.0004983257771561405,0.00042371080323729807,0.00042371080323729807,0.02897216274094579,156.250000014552,0.0,0.0,0.0,0.0
1fdbba44:000,1fdbba44,261,29799.23735600131,-10.680747126437016,10.685191771937,0.0200000000004365,truth_strong,large_recovery,-2.4795545618912262,-0.019800000000002926,-2.0739777896190805,True,True,True,0.0017364947706481216,0.00012994207283894285,0.00012994207283894285,0.011264367816500075,4.2881188357714265e-19,0.0,0.0,0.0,0.0
1fdbba44:001,1fdbba44,475,57145.98487375252,-10.957432631579186,10.96847011101918,0.0200000000004365,truth_strong,large_recovery,-0.450883628322259,-0.014339999999996519,-1.8961432416305435,True,True,True,1.6854504166578374e-05,0.0005322409023744142,0.0005322409023744142,0.018915789473931136,156.24999999636222,0.0,0.0,0.09052631578947369,2.6606423598777544
1fdbba44:002,1fdbba44,2321,769664.3375742633,-17.931507324429287,18.210132749609688,0.0300000000006548,truth_strong,large_recovery,1.6878679569685522,-0.017000000000000015,0.05836579249904843,False,True,False,-0.002910698096848802,0.004547974160051734,0.000980058663826662,0.027898144152055396,156.25000001455186,0.0017233950883239983,0.002154243860404998,0.07453683757001292,10.704444843229105
1fee2b62:000,1fee2b62,2532,908494.2861085146,-18.79855015797804,18.94214904152693,0.0199999999986175,near_tie,large_recovery,-4.936494062296015,-0.014760000000002048,-3.5313155205156344,True,True,True,0.0014908518802611353,0.00039433651425185807,0.00039433651425185807,0.02491113744097091,156.25000000818557,0.0,0.0,0.02014218009478673,3.155645589622453
200d233d:000,200d233d,497,137806.38970249827,16.574812877263476,16.651619681976758,0.0300000000006548,candidate_strong,partial_recovery,2.3934546306663247,0.0002200000000011643,1.5944005325802117,True,True,True,0.001788495819367899,0.00021578368584716028,0.00021578368584716028,0.01709255533223102,156.2499999827195,0.0,0.0,0.0,0.0
201661b5:000,201661b5,555,157709.6122724981,16.59054594594585,16.857089415259406,0.0199999999986175,truth_strong,partial_recovery,5.812937102931308,-0.0101600000000035,2.1591660905394012,True,False,True,-0.0017687092945144023,0.001068341007082197,0.001068341007082197,0.03829729729736153,506.24999997380655,0.0,0.0,0.0,0.0
20402d71:000,20402d71,638,78981.48894849747,11.103912225705155,11.126339794530375,-0.0099999999983992,truth_strong,not_better,1.816462902419567,-0.0037200000000011677,3.25930058559968,True,False,True,0.0007365065187744422,0.0017984956510174073,0.0007369827743281902,0.018418940610192783,156.2499999890861,0.023510971786833857,0.03134796238244514,0.04075235109717868,1.60876049667027
20402d71:001,20402d71,145,18943.852633749542,11.424010344827447,11.43010321664246,-0.0499999999992724,truth_strong,not_better,2.6163861452473176,0.011720000000001176,2.14665270918072,True,True,True,0.0037083826086062904,0.004293124867728248,0.001986351660514626,0.021521739130561324,156.24999999727157,0.04827586206896552,0.06206896551724138,0.20689655172413793,1.8562621115426192
