well,rows,initial_position_prior_mean_bias_ft,initial_position_prior_variance_ft2,initial_rate,rate_span,rate_step,initial_rate_prior_mean_bias,initial_rate_prior_variance,initial_rate_prior_edge_mass,initial_rate_transition_mass_loss,initial_rate_transition_conditional_mean_error,kernel_bias_mean_ft_per_row,kernel_bias_abs_mean_ft_per_row,kernel_bias_sum_ft,rate_mean_reversion_position_bias_abs_mean_ft_per_row,rate_mean_reversion_position_bias_sum_ft,representation_error_abs_mean_ft_per_row,supported_representation_error_abs_mean_ft_per_row,supported_compensating_rate_shift_abs_mean,supported_compensating_diffusion_rows_proxy_median,true_rate_outside_fraction,true_nearest_rate_edge_fraction,best_compensating_rate_edge_fraction,prediction_error_vs_cumulative_kernel_bias_corr,end_prediction_error_ft,end_cumulative_kernel_bias_ft
2be5c96a,4210,3.9898639947466563e-17,0.5625,-0.039999999999054126,0.1,0.0050000000000000044,9.005102219461492e-12,9.999999942679195e-05,3.037941423607287e-09,1.822764161829582e-10,1.18625595457722e-11,-0.00023974283332756942,0.01021155204648545,-1.0093173283090673,7.258432304046002e-05,0.3026200000000029,0.0016732314974084283,0.001652920772947849,0.02540180694261048,156.25000000818542,0.0009501187648456057,0.0019002375296912114,0.16983372921615203,0.9151345178236235,5.310999999999694,-1.0093173283090418
2bff06cf,7624,3.9898639947466563e-17,0.5625,0.05999999999949068,0.1,0.0050000000000000044,-3.9995864482833543e-07,9.998266255962627e-05,6.691570120873332e-05,4.014942072472216e-06,-1.811565162462836e-07,-0.0014370688528311656,0.011990018309033765,-10.956212933984807,9.921301154251435e-05,-0.7387999999999999,0.002598657295657054,0.002044899395967123,0.023163346613769696,156.24999999636222,0.012329485834207765,0.017051416579223506,0.15595487932843652,0.821615309272668,0.9169999999994616,-10.95621293398533
2c0c4a4e,4790,3.9898639947466563e-17,0.5625,-0.020000000000436557,0.1,0.0050000000000000044,6.938893903907228e-18,9.999999999999969e-05,2.5261355426506887e-15,2.220446049250313e-16,1.3877787807814457e-17,-0.0017252490422329028,0.011899361856548878,-8.263942912295605,6.673068893531974e-05,0.31340000000000173,0.0009385727178680879,0.0008713452267112282,0.027182083942544892,156.2500000118235,0.00020876826722338206,0.00020876826722338206,0.0511482254697286,-0.24064177103729884,1.128999999998996,-8.263942912295589
2cee0cba,5500,6.938893903907228e-17,0.5625,-0.05999999999949068,0.1,0.0050000000000000044,3.9995864482833543e-07,9.998266255962616e-05,6.691570120873328e-05,4.0149420725832385e-06,1.811565162324058e-07,-0.001672268296358048,0.014076001527613962,-9.197475629969265,5.912363636369732e-05,0.3191800000000006,0.0012568451094384513,0.0007527474444398723,0.03084173849272227,399.99999998108257,0.008545454545454545,0.010545454545454545,0.031636363636363636,0.35664246603623423,-0.6650000000008731,-9.197475629969333
2d0c268a,4550,3.9898639947466563e-17,0.5625,0.030000000000654836,0.1,0.0050000000000000044,-9.329342853803269e-15,9.999999999931137e-05,4.567360206276476e-12,2.7400304247748863e-13,-2.057035097813298e-14,0.0021236092503405866,0.016222831371254118,9.662422089049668,6.887032967036265e-05,-0.3091199999999993,0.0012451491525459735,0.001094025501219686,0.031845460540922195,399.9999999854482,0.00021978021978021978,0.00021978021978021978,0.06197802197802198,0.716384620609334,-5.5900000000001455,9.662422089049532
2d179ded,7008,3.9898639947466563e-17,0.5625,0.010000000000218279,0.1,0.0050000000000000044,0.0,9.999999999999999e-05,5.13988679743829e-19,0.0,0.0,0.00024602956629601793,0.009596885329230821,1.7241752006024935,4.583904109601215e-05,-0.32067999999999697,0.00048471666666049124,0.00048471666666049124,0.026145833333464763,156.25000000545705,0.0,0.0,0.02226027397260274,-0.3600352514954345,-12.456999999998516,1.7241752006024584
2d196986,6474,3.9898639947466563e-17,0.5625,0.010000000000218279,0.1,0.0050000000000000044,0.0,9.999999999999999e-05,5.13988679743829e-19,0.0,0.0,0.0018264554230386135,0.011440708498068032,11.824472408751983,5.201729996920084e-05,-0.31736000000000086,0.0005942479311980358,0.0005794930821273509,0.02660614956754884,156.2500000118235,0.00030892801977139327,0.0004633920296570899,0.03367315415508187,0.9182522490156223,6.040000000000873,11.824472408752108
2d2d0c6b,5045,3.9898639947466563e-17,0.5625,-0.010000000002037268,0.1,0.0050000000000000044,0.0,9.999999999999999e-05,5.139886805852748e-19,0.0,0.0,-0.0008353339100395269,0.007305771950895919,-4.214259576149413,3.4152626362782145e-05,0.17150000000000015,0.00034702351812836586,0.0002877973978331728,0.02107674003585873,156.24999999727157,0.00039643211100099106,0.00039643211100099106,0.00039643211100099106,0.3458219476584738,-0.761000000002241,-4.2142595761493835
2d35f86d,4896,3.9898639947466563e-17,0.5625,0.029999999998835847,0.1,0.0050000000000000044,-9.336281747707176e-15,9.999999999931136e-05,4.56736020046089e-12,2.7411406477995115e-13,-2.057035097813298e-14,-0.001387261284075121,0.011659039203904533,-6.792031246831792,9.128267973856257e-05,-0.4469200000000023,0.0015899435438904725,0.001440416972734452,0.027400410677766177,156.2500000118235,0.0053104575163398695,0.007352941176470588,0.14358660130718953,0.9612527231623417,-32.8119999999999,-6.792031246831765
2d9f6cb9,7338,3.9898639947466563e-17,0.5625,0.020000000000436557,0.1,0.0050000000000000044,0.0,9.999999999999973e-05,2.5261355426506895e-15,0.0,-1.734723475976807e-17,-0.0010560872830082733,0.010225186223592475,-7.749568482714709,5.80675933497112e-05,-0.4260199999999972,0.0011171531471991243,0.000817000019110842,0.024472096531120188,156.25000000545705,0.006132461161079314,0.006541291905151268,0.05233033524121014,-0.24149023284393092,7.584000000000742,-7.749568482714729
2ddad940,5331,3.9898639947466563e-17,0.5625,-0.020000000000436557,0.1,0.0050000000000000044,6.938893903907228e-18,9.999999999999969e-05,2.5261355426506887e-15,2.220446049250313e-16,1.3877787807814457e-17,0.0007685547821188584,0.011514618134813123,4.097165543475634,7.414743950480162e-05,0.39528000000000285,0.001305016897880392,0.001002934369446662,0.02907317073182933,156.25000003183246,0.00018758206715438003,0.00018758206715438003,0.05533670981054211,0.9732959099451315,10.772999999999229,4.097165543475568
2e29e833,5428,3.9898639947466563e-17,0.5625,0.030000000000654836,0.1,0.0050000000000000044,-9.329342853803269e-15,9.999999999931137e-05,4.567360206276476e-12,2.7400304247748863e-13,-2.057035097813298e-14,-0.00029399613228219717,0.006467672790676309,-1.5958110060277662,7.708548268238737e-05,-0.4184199999999986,0.0003100400272010059,0.0003100400272010059,0.020588614591241106,156.2499999890861,0.0,0.0,0.006079587324981577,0.8874650630372978,-12.92699999999968,-1.5958110060277602
2e43c2ea,5698,3.9898639947466563e-17,0.5625,1.8189894035458565e-12,0.1,0.0050000000000000044,4.336847161110644e-19,9.999999999999999e-05,7.69459862670642e-23,1.1102230246251565e-16,-2.4213612169215825e-25,-0.0010572985907251907,0.009435702606626298,-6.024487369952136,6.808704808705182e-05,-0.38795999999999947,0.00041468029282510076,0.00041468029282510076,0.02445419445439782,156.25000000545705,0.0,0.0,0.0008775008775008775,0.7018547564410369,0.7399999999997817,-6.0244873699521975
2e63d9de,4699,3.9898639947466563e-17,0.5625,-0.039999999999054126,0.1,0.0050000000000000044,9.005102219461492e-12,9.999999942679195e-05,3.037941423607287e-09,1.822764161829582e-10,1.18625595457722e-11,0.0021631306455917898,0.01205581427173298,10.16455090363582,4.748669929786684e-05,0.20866000000000368,0.0009940502896581519,0.000694914814794785,0.029745528109113125,399.99999992505764,0.000638433709299851,0.0010640561821664183,0.013832730368163439,0.9362374059920637,35.731000000001586,10.16455090363584
