well,episodes,episode_rows,suffix_rows,episode_sse,suffix_rmse_ft,suffix_max_abs_error_ft,last_known_tvt,last_known_md,shard_index
7987f2f2,1,3039,3705,9743204.441501617,51.294404272547276,74.572265625,12222.97,12966.0,3
7993a768,3,1038,5487,127788.12123584747,7.489727783560667,12.939453125,12156.36,13175.0,1
7a5660b0,1,2011,4998,506697.1502008438,10.454719427219228,23.3740234375,12735.01,13741.0,3
7b38844c,2,940,3749,256153.64668750763,9.279145356846374,21.1630859375,12037.26,13017.0,0
7cbbd047,1,559,5121,88846.06837749481,5.764388938284989,16.90234375,12014.6,12854.0,2
7cd4bb31,1,1342,6439,430579.1691646576,8.822919870227665,24.2666015625,11192.95,12221.0,2
7d57c75d,1,1164,4405,761880.1509208679,13.760576962952147,36.7314453125,10794.1,11786.0,0
7e208414,3,979,4226,127703.9788017273,7.736696062129245,13.958984375,12032.75,12989.0,3
7e721392,1,4460,6174,1522372.6993627548,15.80148225192257,22.8642578125,11514.17,12583.0,1
7ff89f8f,3,3477,7337,954432.9969072342,12.042858238773572,31.3173828125,10682.81,11893.0,0
807f0298,1,362,3747,78389.15103816986,6.241928919637652,19.19140625,11036.99,12032.0,1
81bf5923,1,4266,4543,4522505.52040863,31.563055918758387,52.8134765625,12773.62,13770.0,0
81fc01c6,5,2335,5909,1296764.865395546,15.641859923094831,41.21484375,10794.71,11854.0,2
8255c867,2,3394,3589,978256.6289672852,16.586219179404903,24.6337890625,11151.14,12144.0,2
82aab6d2,1,223,6140,24389.042426109314,5.477002665310305,10.80078125,12160.7,13164.0,2
833af382,3,621,3628,113365.05297851562,7.248406478958736,19.3203125,11170.19,12239.0,2
84633df4,2,3345,4972,1340226.012430191,16.75455382476913,40.2255859375,10877.31,11810.0,2
8478df29,2,2076,4857,384972.9029560089,9.634222318775763,16.818359375,10921.63,12001.0,0
84815d5a,1,3363,3647,1479513.6915540695,20.198297081298886,34.1474609375,11942.31,13000.0,0
84c3b497,1,2618,5312,2410678.1389951706,21.608192333966024,51.55078125,11516.44,12597.0,0
8612b37f,2,3539,5165,4243156.135877609,28.882275622018128,55.5322265625,11880.09,12987.0,2
861e71df,2,1717,4700,280277.6027288437,8.386950826418568,15.0810546875,11389.73,12356.0,0
86454a6f,2,7774,7964,27532463.504315376,58.80466452144745,78.919921875,12177.94,13100.0,2
8648abae,2,2700,4244,620096.8353414536,12.802875629129696,20.373046875,12013.11,13084.0,3
87695469,1,189,7003,24203.24388027191,5.7659148694166715,12.1650390625,10096.98,11251.0,0
8902c3f6,1,283,4959,65034.30986022949,5.980605290289891,17.2060546875,10766.36,11978.0,2
896d15b9,1,410,4279,126845.20631217957,6.180338206561817,22.453125,11945.53,12827.0,2
8995c945,3,3808,6724,1472907.271481514,15.215494925599167,36.8955078125,10986.86,11727.0,1
89969c7a,1,1058,4947,337251.59714126587,9.663787654232708,22.607421875,10906.21,11571.0,0
89f1085d,2,714,5994,141315.51870822906,6.53471592465073,18.2998046875,12813.12,13834.0,3
89f36adf,2,1061,5292,251518.5420446396,8.189816983409193,19.705078125,12229.33,13086.0,1
8a3da6d1,2,2023,4593,505901.4919834137,11.486523948811598,24.09765625,12003.01,12928.0,3
8a9c8932,1,378,4663,55354.498578071594,5.404622942881765,14.517578125,11281.12,12397.0,2
8ac2f237,1,229,5319,35450.79762554169,5.149840797407153,16.34765625,11360.27,12497.0,3
8b12bab6,3,1376,5234,449098.56718063354,10.537048027471323,32.138671875,11856.72,12904.0,3
8b5be31b,1,992,5672,198585.49947547913,6.478619406536878,17.005859375,10842.45,11808.0,2
8b95d6d1,2,627,1731,84210.28709602356,7.825014050674568,13.1220703125,10775.76,11533.0,1
8b9d8326,3,2045,6163,519130.3250589371,10.654182038715241,21.125,12247.12,13392.0,3
8bfa881d,2,1616,4089,337527.36700344086,9.627910067121645,21.072265625,12181.81,13367.0,2
8c167025,3,1808,5368,486711.9830904007,10.208192304732512,28.4404296875,10764.61,12010.0,3
8c8348e8,1,141,3888,20642.4485206604,4.77045888781953,14.66015625,12446.69,13654.0,0
8cc21f01,1,2946,4044,1214128.9446554184,17.404256536059556,28.205078125,11753.97,12325.0,1
8cc800b3,2,5209,6576,1475560.2595567703,15.120460152367516,32.552734375,10910.32,12025.0,2
8d5d46d7,2,1609,5755,333193.1132144928,8.242782246414928,18.013671875,11208.18,12235.0,0
8f201368,1,6142,6349,4873611.252908707,27.719811978933595,39.611328125,11169.49,12188.0,0
90386ee4,1,183,3840,22071.889568328857,5.268717423860973,11.5966796875,11183.43,12279.0,0
91b301ce,2,3707,6570,6615973.218365669,31.936570882140636,84.408203125,11011.78,12110.0,3
