episode_id,well,start_row_idx,end_row_idx_exclusive,start_suffix_offset,rows,suffix_rows,audit_start_row_idx,audit_start_suffix_offset,start_suffix_fraction,episode_suffix_fraction,rows_from_last_within5_to_episode_start,rows_from_episode_end_to_next_within5,pre128_error_slope_ft_per_row,pre128_error_start_ft,pre128_error_end_ft,mean_error_ft,rmse_ft,error_std_ft,error_slope_ft_per_row,error_sign_consistency,max_abs_error_ft,episode_sse,last_known_tvt,last_known_md,episode_start_md_since,episode_end_md_since,shard_index
14fee784:002,14fee784,5273,6406,3777,1133,4910,5145,3649,0.7692464358452138,0.23075356415478615,522,,-0.0035731412185196734,-9.294921875,-9.958984375,-22.46597804501324,22.946636574287663,4.672040298779475,-0.010589300375235223,1.0,29.4287109375,596579.0313720703,10880.95,11812.0,3778.0,4910.0,2
153552f5:000,153552f5,5790,6498,3987,708,4695,5662,3859,0.8492012779552716,0.15079872204472844,388,,0.016668102108631087,7.5546875,9.9970703125,12.364926785399012,12.448202191917822,1.437471183220633,0.004104416952127443,1.0,15.7861328125,109710.0783700943,12085.88,13051.0,3988.0,4695.0,0
1550491d:000,1550491d,2222,5153,856,2931,4563,2094,728,0.1875958799035722,0.6423405654174885,317,113.0,0.01619388655065464,6.119140625,7.6083984375,19.11282745330092,19.41940208134654,3.4370050825323184,-0.00263926380968382,1.0,23.736328125,1105318.7223644257,11383.7,12811.0,857.0,3787.0,0
15e154a1:000,15e154a1,3819,4022,2188,203,6068,3691,2060,0.36058009228740934,0.03345418589321028,241,26.0,-0.02617382195554271,-7.0087890625,-10.0,-12.747022205972906,12.871065534468944,1.7826252755494967,-0.026656005976349234,1.0,15.5234375,33629.85858249664,10928.69,11952.0,2189.0,2391.0,3
15e154a1:001,15e154a1,6578,7307,4947,729,6068,6450,4819,0.815260382333553,0.12013843111404086,610,,-0.014667848378523566,-7.7578125,-9.9462890625,-16.060344596622084,16.481484883792636,3.7019826326492864,-0.0017836201726487823,1.0,21.2763671875,198025.08175754547,10928.69,11952.0,4948.0,5676.0,3
15e154a1:002,15e154a1,7327,7699,5696,372,6068,7199,5568,0.938694792353329,0.061305207646671064,1359,,0.03582922658342251,-15.224609375,-9.998046875,-11.826402889784946,11.874964513547559,1.0728359084687977,-0.006762053920725043,1.0,14.177734375,52457.49897766113,10928.69,11952.0,5697.0,6068.0,3
173ed841:000,173ed841,2975,6530,1328,3555,4883,2847,1200,0.2719639565840672,0.7280360434159329,176,,-0.019248117175518734,-6.7919921875,-9.9873046875,-32.6472961168249,33.539225279414055,7.683338376229243,0.001112947899604767,1.0,51.3935546875,3998947.092980385,12724.83,13852.0,1329.0,4883.0,3
1770d7c6:000,1770d7c6,6731,9121,4850,2390,7240,6603,4722,0.669889502762431,0.3301104972375691,78,,0.08851742565446319,0.1982421875,9.9794921875,24.02868192664749,24.705521681636164,5.743278369520218,0.0009523652871493681,1.0,35.87890625,1458767.095732689,12579.06,13854.0,4851.0,7240.0,1
177622d7:000,177622d7,4482,4699,2937,217,3154,4354,2809,0.9311984781230184,0.06880152187698162,219,,-0.018261839456773028,-6.98828125,-9.9541015625,-15.47127916186636,15.798793155792874,3.20021659815824,-0.050294387418776454,1.0,20.2080078125,54163.60474395752,12294.39,13326.0,2938.0,3154.0,1
19137a89:000,19137a89,3067,3972,1376,905,6267,2939,1248,0.21956278921333972,0.1444072123823201,277,362.0,-0.010255426261215894,-8.4384765625,-9.982421875,-11.37223109461326,11.390599886139567,0.6466263966418514,-0.0013718576295742493,1.0,12.458984375,117419.91801834106,11041.54,11747.0,1377.0,2281.0,3
