model,feature,importance
lgb0,grwr_rolling_median_11_default_candidate_cost,29.8
lgb0,ll_learned_prob_sc_ens,29.4
lgb0,tda0,28.2
lgb0,nsel_top1_is_exp226_v6_k16_geometry_gr_u_projection,27.8
lgb0,bw50_BUDA,27.4
lgb0,grwr_candidate_tvt_range,26.8
lgb0,grwr_dwt_detail_energy_w033,26.2
lgb0,ll_candidate_tvt_std,26.0
lgb0,grwr_candidate_tvt_std,25.2
lgb0,ll_candidate_tvt_range,25.2
lgb0,nsel_score_mean,24.8
lgb0,sc_ens_d,24.6
lgb0,glag15,23.8
lgb0,sc_cons_d,23.6
lgb0,nsel_candidate_range,23.4
lgb0,grwr_raw_minus_rolling_absmean_w033,21.4
lgb0,grwr_savgol_31_p2_zero_minus_best_cost,21.0
lgb0,glead15,20.4
lgb0,ll_learned_pred_abs_error_sc_ens,19.6
lgb0,grwr_savgol_31_p2_default_candidate_ncc,19.2
lgb0,tdpf0,19.2
lgb0,grwr_dwt_approx_zero_minus_best_cost,18.0
lgb0,grwr_raw_rolling_corr_w033,18.0
lgb0,ll_learned_pred_abs_error_hyb,17.4
lgb0,grwr_dwt_detail_absmean_w033,17.0
lgb0,grwr_rolling_median_11_zero_minus_best_cost,16.6
lgb0,ll_multiobs_score_beam_mean,16.6
lgb0,nsel_candidate_std,15.4
lgb0,ll_multiobs_score_likpf_mean,14.6
lgb0,grwr_rolling_median_11_default_candidate_ncc,14.2
lgb0,grwr_raw_dwt_corr_w033,14.0
lgb0,sc25_d,14.0
lgb0,ll_candidate_tvt_hyb_minus_last_known_tvt,13.8
lgb0,grwr_raw_savgol_corr_w033,13.4
lgb0,ll_multiobs_score_pf_ancc,13.4
lgb0,grm5,12.8
lgb0,grwr_raw_minus_dwt_absmean_w065,11.8
lgb0,grwr_raw_default_candidate_cost,11.6
lgb0,grs21,11.0
lgb0,grwr_savgol_31_p2_best_minus_default_cost,11.0
lgb0,grwr_dwt_approx_default_candidate_ncc,10.0
lgb0,ll_candidate_tvt_sc_ens_minus_last_known_tvt,9.8
lgb0,ll_learned_prob_top3_contains_likpf,9.4
lgb0,grwr_dwt_approx_best_minus_default_cost,9.2
lgb0,grwr_raw_zero_minus_best_cost,9.2
lgb0,glead5,8.6
lgb0,glag5,8.2
lgb0,sc25_sc,7.4
lgb0,grwr_rolling_median_11_best_minus_default_cost,7.0
lgb0,grwr_raw_minus_dwt_absmean_w033,5.0
lgb0,grwr_raw_best_minus_default_cost,4.2
lgb0,sc15_d,4.2
lgb0,ll_multiobs_ncc_pf_ancc,4.0
lgb0,ll_learned_error_top3_contains_likpf,3.8
lgb0,grwr_raw_default_candidate_ncc,3.2
lgb0,ll_multiobs_ncc_beam_mean,3.2
lgb0,gr,2.8
lgb0,grwr_savgol_31_p2_zero_rank_norm,2.0
lgb0,grwr_rolling_median_11_zero_rank_norm,1.6
lgb0,glag1,1.4
lgb0,grwr_raw_candidate_cost_std,1.4
lgb0,glead1,1.2
lgb0,grwr_dwt_approx_candidate_cost_std,1.2
lgb0,ll_multiobs_ncc_likpf_mean,1.2
lgb0,tdsc30,1.2
lgb0,grwr_rolling_median_11_candidate_cost_entropy,1.0
lgb0,ll_multiobs_mae_hyb,1.0
lgb0,sc8_d,1.0
lgb0,tdsc-8,1.0
lgb0,tdsc2,1.0
lgb0,grs5,0.8
lgb0,grwr_savgol_31_p2_minus_raw_default_candidate_cost,0.8
lgb0,ll_multiobs_mae_sc_ens,0.8
lgb0,tdsc-15,0.8
lgb0,tdsc-4,0.8
lgb0,tdsc15,0.8
lgb0,grwr_dwt_approx_candidate_cost_entropy,0.6
lgb0,grwr_raw_zero_rank_norm,0.6
lgb0,grwr_rolling_median_11_minus_raw_default_candidate_cost,0.6
lgb0,grwr_rolling_median_11_minus_raw_default_candidate_ncc,0.6
lgb0,ll_multiobs_score_hyb,0.6
lgb0,sc15_sc,0.6
lgb0,sc8_sc,0.6
lgb0,tdsc-30,0.6
lgb0,grwr_dwt_approx_zero_rank_norm,0.4
lgb0,grwr_savgol_31_p2_candidate_cost_entropy,0.4
lgb0,grwr_savgol_31_p2_minus_raw_default_candidate_ncc,0.4
lgb0,ll_multiobs_ncc_sc_ens,0.4
lgb0,tdsc-2,0.4
lgb0,tdsc0,0.4
lgb0,grwr_raw_candidate_cost_entropy,0.2
lgb0,grwr_rolling_median_11_candidate_cost_std,0.2
lgb0,grwr_savgol_31_p2_candidate_cost_std,0.2
lgb0,ll_multiobs_score_sc_ens,0.2
lgb0,tdsc4,0.2
lgb0,tdsc8,0.2
