well,suffix_rows,posterior_mean_rmse_ft,persistent_episodes,persistent_rows,persistent_row_fraction,has_persistent_episode,top1_joint_path_log_probability,top5_joint_path_log_mass,top1_joint_path_log10_probability,top5_joint_path_log10_mass,top1_surprisal_nats_per_row,top5_surprisal_nats_per_row,top5_vs_top1_log_mass_gain
9dfff011,4319,8.026991334682602,1,1390,0.32183375781430884,True,-916.0760763373446,-914.4867722600673,-397.8467849568908,-397.1565589660629,0.2121037453895218,0.2117357657467162,1.5893040772773475
9e3e364d,4290,10.04177579095633,2,2217,0.5167832167832168,True,-902.458152779102,-900.8524182595646,-391.93259590056573,-391.2352342593291,0.21036320577601444,0.2099889086852132,1.60573451953735
9efc812e,4450,7.366895235767662,1,623,0.14,True,-1056.2818814234106,-1054.6733955360078,-458.7373924365721,-458.03883589145386,0.23736671492660913,0.23700525742382197,1.6084858874028214
9f0c7bae,2542,5.84392289139108,0,0,0.0,False,-544.412713559713,-542.8320338186344,-236.43543737695896,-235.74895688775229,0.21416707850500116,0.21354525327247614,1.5806797410785975
9ffce529,5212,2.1896392440405146,0,0,0.0,False,-1219.07754582771,-1217.46952332718,-529.438651165133,-528.7402958663765,0.23389822444890832,0.23358970132908288,1.608022500530069
a0383629,5832,1.6751379843177152,0,0,0.0,False,-1215.642148074969,-1214.0486754706933,-527.9466768779748,-527.2546405188738,0.20844344102794396,0.20817021184339735,1.593472604275803
a056d01e,6557,4.693362875424229,1,402,0.06130852524020131,True,-1473.3194644870246,-1471.7101730547931,-639.8545135073687,-639.1556071185764,0.22469413824722045,0.22444870719151946,1.60929143223143
a08d9e63,3685,4.916437695303877,1,333,0.0903663500678426,True,-774.4148099742924,-772.8065558558156,-336.3240786759905,-335.6256227868379,0.21015327272029646,0.20971684012369488,1.6082541184767933
a0b83014,5035,3.0375603478502367,0,0,0.0,False,-1058.8283662650208,-1057.2290688157063,-459.84331675153373,-459.14875069437454,0.21029361792751158,0.20997598188991187,1.599297449314463
a0e92ed6,4897,4.228899626528824,1,222,0.04533387788441903,True,-1071.3823500827748,-1069.7749134122732,-465.29544264948703,-464.59734177347923,0.21878340822601078,0.21845515895696818,1.6074366705015564
a15bc102,3236,2.8131836850522496,0,0,0.0,False,-669.3732876015904,-668.4099681006326,-290.705125138809,-290.28676079523325,0.206852066625955,0.20655437827584444,0.963319500957823
a247e7cf,5674,1.32838012714914,0,0,0.0,False,-1209.707217935029,-1208.0992444729134,-525.3691694677175,-524.6708354660739,0.21320183608301532,0.2129184428045318,1.607973462115524
a2e8e7f6,4760,23.456023272695376,1,2550,0.5357142857142857,True,-1052.804667524436,-1051.2014727424496,-457.2272576278501,-456.5309989806174,0.22117745116059578,0.22084064553412808,1.6031947819863035
a3518960,4967,4.728197081583023,1,316,0.06361989128246426,True,-1064.1169749899905,-1062.5102214676533,-462.14013033773347,-461.44232614920384,0.2142373615844555,0.21391387587430105,1.6067535223371578
a3f71395,5543,26.636454827309112,1,2764,0.4986469420891214,True,-1362.1181071170454,-1360.5104014487972,-591.5603776214352,-590.8621599211905,0.24573662405142438,0.24544658153505272,1.6077056682481725
a4719920,5884,0.840755049107869,0,0,0.0,False,-1318.7577518175142,-1317.1490950310967,-572.7292145814845,-572.0305838158671,0.2241260625114742,0.2238526674084121,1.6086567864174413
a48640d9,4532,4.676145523071983,1,265,0.05847308031774051,True,-849.6884770277646,-848.079063528201,-369.0150169099361,-368.316057507975,0.1874864247634079,0.18713130263199493,1.6094134995636296
a4cdbb0f,5204,1.2360779135353739,0,0,0.0,False,-1198.39968693656,-1196.7928838631035,-520.4583711511325,-519.7605454428251,0.23028433645975405,0.229975573378767,1.6068030734566037
a4f989c2,5385,17.288551113013572,1,938,0.17418755803156918,True,-1346.881236758109,-1345.2735074007596,-584.943088903074,-584.2448609147833,0.2501172213106981,0.24981866432697486,1.607729357349399
a5aa7973,4616,2.4270889970206615,0,0,0.0,False,-1000.7470301526934,-999.1401784456503,-434.61891297638186,-433.92106614677624,0.21679961658420566,0.21645151179498492,1.6068517070430062
a5e6f7dc,5649,5.764015809027924,1,523,0.0925827580102673,True,-1227.4717102781694,-1225.8623456061348,-533.084190466156,-532.3852522697213,0.21729008856048318,0.2170051948320295,1.6093646720346442
a612d5a0,5329,16.170285349298236,1,2725,0.511352974291612,True,-1211.413753642637,-1209.8049987532363,-526.1103085087025,-525.411635137501,0.22732478019190033,0.22702289336709258,1.6087548894006432
a622ce4d,6298,5.600511575659711,1,536,0.0851063829787234,True,-1318.1499529359498,-1316.5416134119318,-572.4652508811141,-571.7667579008062,0.20929659462304698,0.2090412215642953,1.6083395240179925
a645da9a,5153,2.2859624917803534,0,0,0.0,False,-1117.275348587582,-1115.668790167309,-485.22651865811895,-484.5287992013392,0.2168203665025387,0.2165085950256761,1.6065584202729042
