name,rows,rmse,mae,bias_pred_minus_true,error_std,within_5,within_10,within_25,stage,well_id,fold
geometry_plus_gr_pre_u,5027,3.107730831325253,2.286850223219772,0.3526762212381453,3.08765451482881,0.8788541873881043,1.0,1.0,geometry_plus_gr_pre_u,fa31da94,3
final_post_u,5027,2.74519413756365,2.1093223448400376,0.3051911435149133,2.728176903874434,0.9178436443206683,1.0,1.0,final_post_u,fa31da94,3
geometry_tvt_geop,3181,3.337338138313624,2.879078725241703,2.516847778898009,2.1916439280363957,0.8978308707953474,1.0,1.0,geometry_tvt_geop,fb0904bd,3
geometry_plus_gr_pre_u,3181,6.501437071941862,6.081774270630782,6.081774270630782,2.297978616417785,0.3319710782772713,1.0,1.0,geometry_plus_gr_pre_u,fb0904bd,3
final_post_u,3181,6.508357113679416,5.992925143878767,5.992925143878767,2.5384169356209214,0.3357434768940585,1.0,1.0,final_post_u,fb0904bd,3
geometry_tvt_geop,2791,8.694537145984576,7.443780211855606,-2.2799837631568463,8.39027116502481,0.3124328197778574,0.7054819061268363,1.0,geometry_tvt_geop,fcfcc902,3
geometry_plus_gr_pre_u,2791,9.675257117318141,8.24253618012085,-3.326441362649742,9.085449254003253,0.2719455392332497,0.6975994267287711,1.0,geometry_plus_gr_pre_u,fcfcc902,3
final_post_u,2791,9.530347247696644,8.022240370840224,-3.2622856436146996,8.954608368943022,0.31565747044070225,0.6847008240773916,1.0,final_post_u,fcfcc902,3
geometry_tvt_geop,5236,12.451182200787395,11.457303603070946,11.457303603070946,4.874641765736467,0.09931245225362872,0.40889992360580596,1.0,geometry_tvt_geop,fdfd57da,3
geometry_plus_gr_pre_u,5236,14.480816030140689,13.071296366749088,13.04468605028695,6.287304569386519,0.10446906035141329,0.31187929717341484,1.0,geometry_plus_gr_pre_u,fdfd57da,3
final_post_u,5236,14.468011898506154,13.125969206239024,12.941131034407235,6.4691959195573565,0.09873949579831932,0.309205500381971,0.989877769289534,final_post_u,fdfd57da,3
geometry_tvt_geop,4570,2.771253663971248,1.8775206963669924,-1.64023612977979,2.233712673698003,0.8730853391684902,1.0,1.0,geometry_tvt_geop,ffefef30,3
geometry_plus_gr_pre_u,4570,3.073623631556587,2.4004453893436395,-2.327212330641902,2.0077960545263025,0.8772428884026259,1.0,1.0,geometry_plus_gr_pre_u,ffefef30,3
final_post_u,4570,3.068057108468794,2.3819571989622714,-2.2806757422611788,2.0521921400023238,0.8470459518599562,1.0,1.0,final_post_u,ffefef30,3
geometry_tvt_geop,4301,3.0346512413343616,2.6164025620167686,-0.7256182501094635,2.946622865525933,0.9114159497791211,1.0,1.0,geometry_tvt_geop,00e12e8b,4
geometry_plus_gr_pre_u,4301,2.6440720022061894,1.9719117609201913,0.5996683205076804,2.575172743376674,0.9104859335038363,1.0,1.0,geometry_plus_gr_pre_u,00e12e8b,4
final_post_u,4301,2.290969280468635,1.6258197574546984,0.5544882720791682,2.222854696145844,0.9600093001627529,1.0,1.0,final_post_u,00e12e8b,4
geometry_tvt_geop,5557,8.803644147694012,8.032913386177919,8.032450099015161,3.6033173168704384,0.09843440705416592,0.77901745546158,1.0,geometry_tvt_geop,01869cd4,4
geometry_plus_gr_pre_u,5557,6.3533043647309535,5.346180745071717,5.341373090049834,3.440088641852251,0.47327694799352166,0.8981464819147021,1.0,geometry_plus_gr_pre_u,01869cd4,4
final_post_u,5557,5.760292981416184,5.2761337131943,5.2761337131943,2.3115770098024147,0.5650530861975886,0.9404354867734389,1.0,final_post_u,01869cd4,4
geometry_tvt_geop,2445,5.146837672707432,3.7756974458790413,-2.14008732800626,4.680808077427174,0.7623721881390593,0.8883435582822086,1.0,geometry_tvt_geop,052d64df,4
geometry_plus_gr_pre_u,2445,5.7298209694164495,4.399237184248889,-1.9288271251240403,5.395412334840609,0.7595092024539877,0.852760736196319,1.0,geometry_plus_gr_pre_u,052d64df,4
final_post_u,2445,5.6509317676419695,4.371603082402878,-1.9550484244403117,5.301963362815576,0.758282208588957,0.849079754601227,1.0,final_post_u,052d64df,4
geometry_tvt_geop,3879,2.3263576799643166,2.052398481146422,-0.34687170865414535,2.3003521627925387,0.9894302655323537,1.0,1.0,geometry_tvt_geop,05948241,4
geometry_plus_gr_pre_u,3879,1.8129454920849188,1.5123612619480795,-0.2566948130880716,1.7946807878296096,1.0,1.0,1.0,geometry_plus_gr_pre_u,05948241,4
final_post_u,3879,1.5726577321729358,1.343516402979395,-0.31310467559394783,1.5411741642930985,1.0,1.0,1.0,final_post_u,05948241,4
geometry_tvt_geop,5488,4.848593209767196,4.022874282638849,0.901206984342474,4.764103492281932,0.7421647230320699,0.9651967930029155,1.0,geometry_tvt_geop,09441b8d,4
geometry_plus_gr_pre_u,5488,3.284740867452876,2.6517666451911692,-0.25754407607339125,3.2746287751735426,0.8766399416909622,1.0,1.0,geometry_plus_gr_pre_u,09441b8d,4
final_post_u,5488,3.1072072138492235,2.414398447841703,-0.34634400465680965,3.087844312823258,0.8553206997084548,1.0,1.0,final_post_u,09441b8d,4
geometry_tvt_geop,5885,10.347102218925045,9.461496124353598,9.461496124353598,4.1883905521960845,0.12880203908241292,0.5911639762107052,1.0,geometry_tvt_geop,09ec2ca9,4
geometry_plus_gr_pre_u,5885,7.988325190650271,6.926912607342315,6.926912607342315,3.9788467024779663,0.4237892948173322,0.6892098555649957,1.0,geometry_plus_gr_pre_u,09ec2ca9,4
final_post_u,5885,8.237732988406615,7.101278475429124,7.014299362999806,4.319704762423364,0.33695836873406965,0.6791843670348343,1.0,final_post_u,09ec2ca9,4
geometry_tvt_geop,5823,5.9568448120851425,4.901827205197993,3.992639600916989,4.420727217602901,0.5176026103383136,0.9165378670788253,1.0,geometry_tvt_geop,0d99f8e4,4
geometry_plus_gr_pre_u,5823,4.967610428841315,4.024321178426794,2.262998255892629,4.422215764360657,0.7295208655332303,0.962047054782758,1.0,geometry_plus_gr_pre_u,0d99f8e4,4
final_post_u,5823,4.535421903172698,3.8334535564972345,2.0392285845428435,4.051123130659206,0.6960329726944874,1.0,1.0,final_post_u,0d99f8e4,4
geometry_tvt_geop,4428,4.354870014652241,3.3376007587526937,-1.412713821912045,4.1193606909198754,0.7152213188798555,1.0,1.0,geometry_tvt_geop,0dc835f3,4
geometry_plus_gr_pre_u,4428,5.450639889776109,4.270199017693114,-1.2906272703917083,5.295635604621956,0.6449864498644986,0.9042457091237579,1.0,geometry_plus_gr_pre_u,0dc835f3,4
