well_id,fold,start_suffix_offset,end_suffix_offset_exclusive,rows,signed_error_median,abs_error_mean,abs_error_max,episode_sse,geometry_episode_rmse,pre_u_episode_rmse,final_episode_rmse,crossing_component,onset_error,onset_geometry_error,onset_gr_delta,onset_u_adjust,onset_one_row_error_change,pre_onset_64row_error_rate,distance_to_k16_boundary_rows,gr_cap_fraction,u_worsens_episode_sse,gr_worsens_episode_sse
8f201368,0,4303,5896,1593,-12.724777324696332,12.685774169371202,14.357822544970986,258284.46644905594,11.542002023482002,12.98629404346314,12.733308349554372,geometry_already_over_threshold,-10.009803391711102,-10.804615813191049,-1.0969574007270595,1.8917698222066974,-0.03022264216997428,-0.01583030051980927,61,0.0,False,True
9298ad5b,0,3115,3964,849,21.521594174833808,20.75376776622305,28.390560828502203,383071.46900198946,20.695341208311934,22.16124349519584,21.241542874772822,geometry_already_over_threshold,10.019571736482249,10.033801873847551,2.1668315873081,-2.181061724671963,0.04900203861143204,0.046652728695249834,105,0.0,False,True
93209a3d,0,3095,4324,1229,-12.170266999377418,12.079441941982418,13.143565056052466,179989.34947500983,15.443288730900887,12.313963067982524,12.101730083464377,geometry_already_over_threshold,-10.003765037728954,-12.943137537095026,3.025610949783251,-0.0862384504180227,-0.013918258917330562,-0.016723607290686004,134,0.4019528071602929,False,False
94467f50,0,2764,3035,271,18.553406156053825,18.86790534506964,29.083921818153613,104803.78886703527,21.642032885010117,19.685352091772167,19.665448080779708,geometry_already_over_threshold,10.03866943410685,10.155327338628922,-2.054943568620597,1.9382856641004764,0.05170422071387293,0.1658085603134225,81,0.0,False,False
98177ced,0,279,518,239,10.7781610024158,10.819680369653245,11.644793598426986,28023.209319002257,11.337599683741553,11.781937558008675,10.828292655669662,u_projection_crossed_threshold,10.002655413525645,9.489074654700744,0.4421419313372978,0.07143882748823671,0.02267309445051069,0.022770600569316457,19,0.0,False,True
98177ced,0,4638,4772,134,-11.116824886977156,11.110490227126048,12.21322654560936,16595.534724371682,6.860458314332363,9.043124623475576,11.128669015766226,u_projection_crossed_threshold,-10.00888025077802,-6.574197258665663,-2.1830539795491344,-1.2516290125640808,-0.018371826976364858,-0.017185117596056898,165,0.0,True,True
99529c45,0,2073,2836,763,-11.73537540428697,11.723096001584967,12.81550748034897,105213.57261263384,8.029379775179763,10.106483859309295,11.742852744547339,u_projection_crossed_threshold,-10.019950496873207,-6.805245055807973,-2.6008761310226385,-0.6138293100430019,-0.033224143804547523,-0.027418607725394395,117,0.0,True,True
99529c45,0,3989,5840,1851,-22.008341727310835,20.54129267466235,26.98193220300891,825791.6562104236,20.25309503206902,21.1759132299532,21.12185397645562,gr_crossed_threshold,-10.019114578322842,-9.399509484159353,-1.5489391356011997,0.9293340414369595,-0.0393577414797619,-0.020278637266386568,26,0.0,False,True
9b5b61c1,0,5348,5532,184,-12.04979691034805,12.088620204313271,14.292845886275243,27169.332151661834,12.86495418145859,8.870421913245522,12.151518994254477,geometry_already_over_threshold,-10.012714313705146,-13.688971063114877,4.0,-0.32374325059026887,-0.02729597206780454,-0.02183200509711014,162,1.0,True,False
9c350a6a,0,4046,5579,1533,-17.44401595342424,16.78822031201121,21.56201316485385,443069.64839827374,21.676154265465197,17.812465090506887,17.00062637267972,geometry_already_over_threshold,-10.005200264764426,-13.408353819335389,4.0,-0.596846445427218,-0.01360864227899583,-0.019963197460128868,114,0.8467058056099152,False,False
9dede370,0,3372,4204,832,-12.819666358017457,12.828690722034398,16.245065927843825,138385.3643987527,16.071046966097843,12.092945852429873,12.896843140058348,geometry_already_over_threshold,-10.01192326150158,-12.254704268611022,3.5456117040024666,-1.3028306968935794,-0.028328842621704098,-0.00922190048788707,170,0.9495192307692307,True,False
9dede370,0,5914,6297,383,-14.78690732947689,14.341087786943948,16.966079879523022,80310.16485827175,16.041090133754057,12.56294316842177,14.480577147077351,geometry_already_over_threshold,-10.029624311962834,-13.6726050827383,3.5554336214152045,0.08754714935821539,-0.03597701169383072,-0.029873478984256963,11,0.0,True,False
9def2eb2,0,2271,3340,1069,13.126762440346283,12.815552968473876,14.86653854792894,177179.13158099615,13.378899764381753,14.110893196114398,12.874116409361555,u_projection_crossed_threshold,10.010602679425574,8.355683595924347,0.2988692133872974,1.3560498701117467,0.014066260120669583,0.011327921118493123,20,0.0,False,True
