episode_id,well,decoder_rows,posterior_mean_error_recomputed_ft,marginal_map_mean_error_ft,viterbi_mean_error_ft
12203f2a:000,12203f2a,210,-15.545097619047764,-13.66814285705868,0.26185714295616414
e32da4ec:000,e32da4ec,1752,15.419975171232734,15.639132420212222,-2.9268493149673596
e46f4ef4:001,e46f4ef4,1176,15.172593537414807,17.304166666782827,5.033333333437966
5beded95:000,5beded95,1641,15.08679677026192,19.57282145044025,17.927117611316078
6d590e26:000,6d590e26,3141,15.257455428207415,14.392524673783699,5.9247755492923275
4121c517:000,4121c517,238,-15.357638655462331,-17.0927310923395,-7.479495798211705
995ff498:000,995ff498,514,15.204118677042663,17.175836575980608,16.95589494173757
f6824bb0:000,f6824bb0,849,-15.37442579505315,-15.887326266132131,22.18393404015006
57f05c51:000,57f05c51,1915,15.313460313315801,13.245425587604311,22.599472585003614
a79fd2e7:000,a79fd2e7,808,15.251324876237444,17.405284653569655,17.318650990203235
fae0c593:000,fae0c593,1321,15.159133232399519,15.470204390716313,21.973951551964035
9ae248be:000,9ae248be,4154,-14.666153225806582,-22.985965334541522,1.645389985657337
833af382:001,833af382,683,-15.208350658858118,-21.760058565074385,4.474568082097242
35b3ef6a:000,35b3ef6a,2356,15.020153225806272,14.633595076488614,26.947474533205895
e7d0c1de:000,e7d0c1de,546,15.210140109889972,14.949157509264555,13.87736263746823
5b7b6324:002,5b7b6324,272,-15.026406250000036,-9.44231617634172,-34.60371323519107
94467f50:000,94467f50,1083,-15.17662373037871,-14.12389658346854,-11.907553093161654
84c3b497:001,84c3b497,624,15.11915945512803,15.195256410386195,26.334118589884365
153552f5:000,153552f5,2383,-14.831110574905765,-20.09765002090233,4.87484263543815
1beca81d:003,1beca81d,167,15.050005988023825,16.4167065869437,3.269700598906148
059c8f24:000,059c8f24,293,-15.045462457338038,-17.551535836066233,-24.87286689409432
8f201368:001,8f201368,2282,-14.932986634531282,-21.72035933380076,-32.90563540743295
d84b621b:000,d84b621b,2035,15.04577542997529,18.924329238427287,27.43749877160641
833af382:000,833af382,824,-14.913549757281778,-15.590449029035833,-0.19129854358123746
d9d6d94d:001,d9d6d94d,220,-14.80627272727288,-14.530409090824701,-9.280409090821063
5f6756c5:000,5f6756c5,1445,-14.912968512110849,-15.31788927326718,-2.438131487785833
2b034622:001,2b034622,1139,-14.872920544337287,-19.922510974462103,-1.0249692711940561
177622d7:000,177622d7,262,-14.686891221374193,-10.610190839613027,11.740381679493598
98177ced:000,98177ced,1741,14.542475014359379,14.489350947845844,5.970137851915311
9da441ba:001,9da441ba,2466,14.647673763179103,15.681901865502812,-10.179635036388007
0dd99dc5:000,0dd99dc5,525,-14.764050476190588,-19.445561904677934,1.998438095344318
5397ceb1:000,5397ceb1,1257,-14.765746221161661,-14.607223548027239,-14.613070803397276
c47e0767:000,c47e0767,544,-14.545948529411914,-14.326874999880795,-34.56382352931323
aff4e561:000,aff4e561,1198,14.664492487479052,16.852963272248257,-12.62416527536128
33c40295:000,33c40295,1155,14.622865800865647,14.932000000110206,5.767151515251471
ae069086:000,ae069086,1100,-14.49319954545469,-14.504154545368822,-2.7419272726290167
e46f4ef4:003,e46f4ef4,243,14.425672839506085,16.7725514404434,6.165967078293978
4e050c92:001,4e050c92,996,14.333011546184585,12.34256024106807,13.19577309247329
eb640a35:000,eb640a35,1707,-14.493865553602964,-15.651159929597402,-22.440175746829038
12f0cd90:000,12f0cd90,1234,13.98349959481355,5.2581685576376875,4.97170178291994
82aab6d2:001,82aab6d2,569,14.370627416519989,11.411845342796905,25.256221441229368
6e6d122c:001,6e6d122c,251,14.330567729083448,14.504581673423425,2.965737051897488
015fe0d2:000,015fe0d2,858,14.42931468531457,15.451841491986338,-23.486270396167022
7a5660b0:000,7a5660b0,1576,14.192618020304431,14.074029187918551,14.822442893503396
6a0ff78e:000,6a0ff78e,611,-14.340436170212914,-16.601031096452914,-19.604959083362502
a8ed028a:000,a8ed028a,495,-14.242684848484968,-13.48919191906804,-30.72757575746968
0e5e560d:000,0e5e560d,2689,-14.153448121978597,-13.462554853004734,-10.845559687513022
46dfcfca:000,46dfcfca,258,-14.12046124031021,-14.820930232431477,-38.536821705325295
e9949a23:000,e9949a23,294,-14.18776020408184,-12.050578231179946,-19.50653061214169
591cc951:000,591cc951,1301,14.233989623366524,14.10847809387417,22.510630284505417
be063506:000,be063506,729,-14.274056241426761,-15.800013717337574,5.956639231930412
c70c0e01:000,c70c0e01,768,14.191109374999774,14.161119791767227,14.269127604265654
3b21ea64:003,3b21ea64,1857,13.984310446957306,15.149165320536527,-14.461739364470136
8902c3f6:000,8902c3f6,1007,-14.095145978153068,-18.743038728797508,-17.273177755607424
4cecf7b3:003,4cecf7b3,346,14.092747109826385,14.30190751455676,11.135722543455593
593876b6:000,593876b6,3057,-14.111277723258244,-14.371655217432073,-17.724190382629683
261785ee:000,261785ee,776,-14.13099033505168,-14.167680412297322,14.083994845463868
ab6fe95d:000,ab6fe95d,521,-13.961650671785135,-15.826967370342228,-11.606142034445323
