members,best_member_rmse,full_oof_weights_diagnostic,full_oof_rmse_diagnostic,crossfit_rmse,crossfit_delta_vs_best_member,crossfit_folds_beating_best_parent,crossfit_fold_weights
hmm_lgb_exp148|likpf_mean|sc15,8.3277284922205,"[0.9999783103745634, 0.0, 2.1689625436681607e-05]",8.327726723587135,8.329112088397718,0.0013835961772183936,0,"[[0.9996151056641555, 8.978549240895584e-19, 0.0003848943358445168], [1.0, 0.0, 1.5687742233555474e-18], [0.9997695414003728, 1.5958100726271015e-18, 0.00023045859962712712], [1.0, 2.7755575615628914e-17, 0.0], [0.9998594740630233, 2.6130966422795165e-18, 0.00014052593697671108]]"
hmm_lgb_exp148|pf_medoid_k8_m1|sc15,8.3277284922205,"[0.9999783103745633, 3.304836686566582e-17, 2.168962543668111e-05]",8.327726723587134,8.329112088397718,0.0013835961772183936,0,"[[0.9996151056641555, 2.9181979098805155e-17, 0.00038489433584451717], [1.0, 5.551115123125783e-17, 0.0], [0.9997695414003729, 0.0, 0.00023045859962712642], [1.0, 1.734723475976807e-17, 0.0], [0.9998594740630233, 8.446612550019883e-18, 0.0001405259369767106]]"
hmm_lgb_exp148|pf_mix_e02|sc15,8.3277284922205,"[0.9999783103745634, 2.4390843111779612e-17, 2.1689625436681207e-05]",8.327726723587135,8.329112088397718,0.0013835961772183936,0,"[[0.9996151056641556, 0.0, 0.00038489433584451685], [1.0, 0.0, 0.0], [0.9997695414003729, 2.1492614003630617e-17, 0.0002304585996271264], [1.0, 0.0, 1.1064799536754277e-17], [0.9998594740630233, 0.0, 0.00014052593697671162]]"
hmm_lgb_exp148|pf_temp_t2|sc15,8.3277284922205,"[0.9999783103745634, 1.5876891442453012e-17, 2.168962543668184e-05]",8.327726723587135,8.329112088397718,0.0013835961772183936,0,"[[0.9996151056641556, 9.276704838329097e-18, 0.0003848943358445173], [1.0, 0.0, 1.4458387406177435e-17], [0.9997695414003729, 0.0, 0.00023045859962712682], [0.9999999999999998, 1.6653345369377346e-16, 0.0], [0.9998594740630233, 5.985134805298886e-18, 0.00014052593697671072]]"
hmm_lgb_exp148|pf_temp_t4|sc15,8.3277284922205,"[0.9999783103745634, 2.2402645026336956e-17, 2.1689625436681634e-05]",8.327726723587135,8.329112088397718,0.0013835961772183936,0,"[[0.9996151056641556, 0.0, 0.00038489433584451755], [1.0, 0.0, 5.4497019357342457e-17], [0.9997695414003729, 0.0, 0.00023045859962712693], [1.0, 0.0, 0.0], [0.9998594740630233, 3.973431555569923e-18, 0.00014052593697671032]]"
hmm_lgb_exp148|pf_mix_e05|sc15,8.3277284922205,"[0.9999783103745633, 2.2591851010929885e-17, 2.168962543668149e-05]",8.327726723587134,8.329112088397718,0.0013835961772183936,0,"[[0.9996151056641556, 2.0986088301172545e-17, 0.0003848943358445171], [1.0, 0.0, 5.889375930258365e-17], [0.9997695414003729, 5.580253056511331e-18, 0.00023045859962712647], [1.0, 0.0, 0.0], [0.9998594740630233, 4.7984416461956114e-18, 0.00014052593697671072]]"
hmm_lgb_exp148|likpf_mean|sc8,8.3277284922205,"[0.9999465535258459, 8.691828588250004e-18, 5.3446474154029194e-05]",8.327716754615572,8.329540547015347,0.001812054794847029,0,"[[0.9995630659969168, 1.971892701208011e-18, 0.0004369340030832535], [1.0, 5.551115123125783e-17, 0.0], [0.9997204260938294, 1.4907779871675688e-19, 0.0002795739061706251], [1.0, 8.326672684688674e-17, 0.0], [0.9998390751936623, 2.1794157732853148e-18, 0.0001609248063377142]]"
hmm_lgb_exp148|pf_medoid_k8_m1|sc8,8.3277284922205,"[0.9999465535258459, 1.4601577461243256e-17, 5.344647415402898e-05]",8.327716754615572,8.329540547015347,0.001812054794847029,0,"[[0.9995630659969168, 4.823429118139614e-18, 0.0004369340030832535], [1.0, 6.591949208711867e-17, 1.3707936600350006e-18], [0.9997204260938294, 0.0, 0.0002795739061706252], [1.0, 6.938893903907228e-17, 1.5253012535344963e-18], [0.9998390751936623, 3.3601797017578094e-18, 0.00016092480633771443]]"
hmm_lgb_exp148|pf_mix_e02|sc8,8.3277284922205,"[0.9999466019284098, 0.0, 5.339807159026091e-05]",8.3277167546252,8.329540547015347,0.001812054794847029,0,"[[0.9995630659969168, 1.6093625997831706e-17, 0.0004369340030832539], [1.0, 5.551115123125783e-17, 0.0], [0.9997204260938294, 9.234353190966382e-18, 0.00027957390617062554], [0.9999999999999998, 1.6653345369377346e-16, 0.0], [0.9998390751936622, 0.0, 0.0001609248063377145]]"
hmm_lgb_exp148|pf_temp_t2|sc8,8.3277284922205,"[0.9999465488165173, 0.0, 5.345118348270389e-05]",8.327716754615665,8.329540547015347,0.001812054794847029,1,"[[0.9995630659969168, 7.686400479859148e-18, 0.00043693400308325385], [0.9999999999999998, 1.6653345369377346e-16, 0.0], [0.9997204260938293, 9.317362419797301e-20, 0.00027957390617062506], [1.0, 0.0, 5.590415971946227e-18], [0.9998390751936623, 0.0, 0.00016092480633771473]]"
