episode_id,well,rows,episode_sse_weight,observed_emission_evidence_class,viterbi_recovery_class,pre128_kernel_bias_sum_ft,pre128_true_minus_init_rate_median,exp209_mean_error_ft,exp355_mean_error_ft,exp209_rmse_ft,exp355_rmse_ft,rmse_gain_ft,exp355_sse_reduction_fraction,pre128_bias_sign_matches_exp209_error,pre128_bias_sign_matches_exp355_error,exp355_mu_adjustment_abs_mean
5b7b6324:002,5b7b6324,272,63383.64878825044,truth_strong,not_better,-0.4691599344671134,0.0199999999986175,-15.026406250000036,-7.082940470643346,15.265258613762112,7.334767319520543,7.93049129424157,0.7691316760154334,True,True,0.005898627134229201
5beded95:000,5beded95,1641,392726.9145227446,truth_strong,not_better,3.946176006002687,-0.0100000000002182,15.08679677026192,12.50264151181817,15.47002595146194,12.947678058989977,2.522347892471963,0.2995103868116539,True,True,0.009002342039638195
5beded95:001,5beded95,416,56426.97101599898,truth_strong,not_better,0.9930097998351596,0.0100000000002182,11.588504807692196,8.587281993606915,11.646534130375334,8.65758977477869,2.9889443555966437,0.4474130811339523,True,True,0.00981006379203984
5cb483ac:000,5cb483ac,350,45434.052963998336,candidate_strong,partial_recovery,0.9591323280322772,-0.020000000001346,11.36669999999979,11.365730237805852,11.393488486725131,11.392455142941394,0.0010333437837370951,0.00018138376580079107,True,True,0.0047288714988566955
5cdd8dbc:000,5cdd8dbc,1163,768378.0943495099,candidate_strong,not_better,-2.316832521065565,0.0399999999954161,-23.496917454858302,-23.13146452949473,25.703817568948924,25.368849583326913,0.33496798562201135,0.025893847127837044,True,True,0.0076251916448243
5d11dfb5:000,5d11dfb5,419,73983.53129075287,truth_strong,not_better,-3.148779719869968,0.020000000001346,-13.198982100238927,-5.645935211202325,13.288027458014495,5.847986767995564,7.4400406900189315,0.8063168994369716,True,True,0.0033464641246327524
5def1ce5:000,5def1ce5,141,15673.18637775044,near_tie,partial_recovery,-4.027303199571596,0.0599999999976716,-10.539372340425684,-10.529371295475215,10.543118618170414,10.533292401406657,0.0098262167637575,0.0018631371017185927,True,True,0.0017813690337788997
5def1ce5:001,5def1ce5,333,41717.17694425072,near_tie,large_recovery,1.427526757148429,-0.0300000000006548,-11.161680180180273,-10.834252801676003,11.192712255766809,10.858899432813672,0.33381282295313675,0.058758766982325294,False,False,0.019940307473859307
5def1ce5:002,5def1ce5,1317,201875.35529099408,candidate_strong,partial_recovery,1.6636890097403425,-0.0600000000031286,12.284832194380988,12.261026685409414,12.38080161025626,12.354025759521226,0.026775850735033302,0.004320705173799233,True,True,0.013237232497390863
5f6756c5:000,5f6756c5,1445,325095.06850275525,candidate_strong,large_recovery,-2.392600533825979,0.0200000000022555,-14.912968512110849,23.46296309057072,14.999309522810584,23.88524144877897,-8.885931925968386,-1.5358101574649416,True,False,0.010168059248417379
