well,rows,original_episode_rows,exp209_rmse_ft,exp355_rmse_ft,rmse_gain_ft,original_episode_exp209_rmse_ft,original_episode_exp355_rmse_ft,outside_exp209_rmse_ft,outside_exp355_rmse_ft
8648abae,4244,881,8.24230029635924,7.747445621367246,0.494854674991994,16.279283216581817,15.1793101108544,4.0381783612848166,3.9225611870207575
865033f8,3557,0,3.5440539478635884,3.144055952985799,0.3999979948777894,,,3.5440539478635884,3.144055952985799
87695469,7003,0,6.124244778430392,6.51823895235944,-0.39399417392904823,,,6.124244778430392,6.51823895235944
877ed19c,3708,2582,22.068367478402354,3.7797922475271726,18.288575230875182,26.367729843676592,4.484732633843256,3.081139432532697,0.9630125693365156
87aa3730,5607,0,2.008208950123282,2.498756434166246,-0.4905474840429638,,,2.008208950123282,2.498756434166246
884ecb5f,6724,0,1.5545157904640052,1.5581694284914287,-0.003653638027423467,,,1.5545157904640052,1.5581694284914287
8902c3f6,4959,1007,8.066597164431874,12.986409646560881,-4.919812482129007,14.267887456442729,18.67780127618584,5.456964005338101,11.07822497334537
896d15b9,4279,0,2.1452311949305414,2.74562453850828,-0.6003933435777387,,,2.1452311949305414,2.74562453850828
8995c945,6724,1962,8.70322966174846,7.690720245831447,1.0125094159170134,13.469718882651343,11.639711558462269,5.674669166891128,5.262695964681983
89969c7a,4947,822,7.176887794922832,7.307508592506127,-0.13062079758329492,13.390350746865895,12.94881121672448,5.103126924478092,5.534291530193059
89f1085d,5994,4364,25.001905222948178,11.110176302409231,13.891728920538947,29.082288238029665,9.131139743915332,5.852969797357047,15.188289585865308
89f36adf,5292,0,5.108865992336862,5.390756269208563,-0.28189027687170043,,,5.108865992336862,5.390756269208563
89fdb2f2,2031,0,1.9723212099750305,2.0022291871534614,-0.029907977178430967,,,1.9723212099750305,2.0022291871534614
8a3da6d1,4593,2805,47.25000148032095,46.357707539472145,0.892293940848802,60.33264490265775,59.18772947148767,4.954013928062734,4.965582344506007
8a89da23,3935,0,1.4940712529297708,1.674935148129009,-0.18086389519923807,,,1.4940712529297708,1.674935148129009
8a9c8932,4663,0,1.9563640688344264,2.0520958055552447,-0.09573173672081836,,,1.9563640688344264,2.0520958055552447
8ac2f237,5319,0,3.075496166735036,3.001731508332593,0.07376465840244295,,,3.075496166735036,3.001731508332593
8b12bab6,5234,1544,8.669341266392173,6.732368641166811,1.936972625225362,14.888793428938225,8.20828800222868,3.721549116941796,6.008156297844797
8b5be31b,5672,1106,7.872224230657855,5.777766084169158,2.094458146488697,15.851740077429206,5.760200327191796,4.014636011183128,5.782012923477832
8b95d6d1,1731,0,4.766781242583449,5.46994966093186,-0.7031684183484108,,,4.766781242583449,5.46994966093186
8b9d8326,6163,0,4.629532068471632,3.922997575771212,0.70653449270042,,,4.629532068471632,3.922997575771212
8bb9c1e6,4546,2939,16.71618334393331,7.324808714255222,9.391374629678086,20.522224404450913,8.73214240814524,4.4969830949003,3.5106795783771787
8bda1a11,5981,0,2.3775212168557553,2.512043940750022,-0.13452272389426678,,,2.3775212168557553,2.512043940750022
8bfa881d,4089,0,3.548273946944973,2.5280547308615016,1.0202192160834715,,,3.548273946944973,2.5280547308615016
8c167025,5368,3310,19.516365819795585,19.74580119340548,-0.22943537360989552,24.240414204600143,24.548845478674338,6.958900984332531,6.907962583210909
