query_label,split,well_id,view,rank_by_z_rmse,candidate_label,candidate_split,candidate_well_id,candidate_is_provided,overlap_grid_points,coverage_query,coverage_candidate,corr,raw_rmse,resid_std,z_rmse
horizontal:train:01869cd4:prefix,train,01869cd4,prefix,5,typewell:train:1d3fbf02,train,1d3fbf02,False,470.0,1.0,0.3946263790130615,0.7523182034492493,15.964921951293945,15.93715763092041,0.7038207054138184
horizontal:train:01869cd4:prefix,train,01869cd4,prefix,6,typewell:train:2ddad940,train,2ddad940,False,470.0,1.0,0.3030303120613098,0.7523182034492493,15.964921951293945,15.93715763092041,0.7038207054138184
horizontal:train:01869cd4:prefix,train,01869cd4,prefix,7,typewell:train:389ae58f,train,389ae58f,False,470.0,1.0,0.2383367121219635,0.7523182034492493,15.964921951293945,15.93715763092041,0.7038207054138184
horizontal:train:01869cd4:prefix,train,01869cd4,prefix,8,typewell:train:42669188,train,42669188,False,470.0,1.0,0.21809744834899902,0.7523182034492493,15.964921951293945,15.93715763092041,0.7038207054138184
horizontal:train:01869cd4:prefix,train,01869cd4,prefix,9,typewell:train:8cc21f01,train,8cc21f01,False,470.0,1.0,0.24390244483947754,0.7523182034492493,15.964921951293945,15.93715763092041,0.7038207054138184
horizontal:train:01869cd4:prefix,train,01869cd4,prefix,10,typewell:train:a056d01e,train,a056d01e,False,470.0,1.0,0.26067665219306946,0.7523182034492493,15.964921951293945,15.93715763092041,0.7038207054138184
horizontal:train:01869cd4:full,train,01869cd4,full,1,typewell:train:000d7d20,train,000d7d20,False,513.0,1.0,0.3958333432674408,0.7530237436294556,15.353184700012207,15.347138404846191,0.7028175592422485
horizontal:train:01869cd4:full,train,01869cd4,full,2,typewell:train:00e12e8b,train,00e12e8b,False,513.0,1.0,0.20070423185825348,0.7530237436294556,15.353184700012207,15.347138404846191,0.7028175592422485
horizontal:train:01869cd4:full,train,01869cd4,full,3,typewell:train:01869cd4,train,01869cd4,True,513.0,1.0,0.4876425862312317,0.7530237436294556,15.353184700012207,15.347138404846191,0.7028175592422485
horizontal:train:01869cd4:full,train,01869cd4,full,4,typewell:train:1295a25b,train,1295a25b,False,513.0,1.0,0.3839820325374603,0.7530237436294556,15.353184700012207,15.347138404846191,0.7028175592422485
horizontal:train:01869cd4:full,train,01869cd4,full,5,typewell:train:1d3fbf02,train,1d3fbf02,False,513.0,1.0,0.4307304918766022,0.7530237436294556,15.353184700012207,15.347138404846191,0.7028175592422485
horizontal:train:01869cd4:full,train,01869cd4,full,6,typewell:train:2ddad940,train,2ddad940,False,513.0,1.0,0.3307543396949768,0.7530237436294556,15.353184700012207,15.347138404846191,0.7028175592422485
horizontal:train:01869cd4:full,train,01869cd4,full,7,typewell:train:389ae58f,train,389ae58f,False,513.0,1.0,0.2601419985294342,0.7530237436294556,15.353184700012207,15.347138404846191,0.7028175592422485
