well,rows,persistent_rows,episodes,grid_count,rate_span,truth_rows,truth_out_of_grid_fraction,truth_local_illegal_fraction,truth_dynamic_break_fraction,truth_best_position_nll_median,truth_best_position_nll_p90,truth_support_rate_count_median,truth_conditioned_transition_nll_mean,truth_conditioned_transition_nll_median,truth_conditioned_transition_nll_p90,truth_conditioned_rate_edge_mass_mean,posterior_mean_rows,posterior_mean_out_of_grid_fraction,posterior_mean_local_illegal_fraction,posterior_mean_dynamic_break_fraction,posterior_mean_best_position_nll_median,posterior_mean_best_position_nll_p90,posterior_mean_support_rate_count_median,posterior_mean_conditioned_transition_nll_mean,posterior_mean_conditioned_transition_nll_median,posterior_mean_conditioned_transition_nll_p90,posterior_mean_conditioned_rate_edge_mass_mean,marginal_map_rows,marginal_map_out_of_grid_fraction,marginal_map_local_illegal_fraction,marginal_map_dynamic_break_fraction,marginal_map_best_position_nll_median,marginal_map_best_position_nll_p90,marginal_map_support_rate_count_median,marginal_map_conditioned_transition_nll_mean,marginal_map_conditioned_transition_nll_median,marginal_map_conditioned_transition_nll_p90,marginal_map_conditioned_rate_edge_mass_mean,global_viterbi_rows,global_viterbi_out_of_grid_fraction,global_viterbi_local_illegal_fraction,global_viterbi_dynamic_break_fraction,global_viterbi_best_position_nll_median,global_viterbi_best_position_nll_p90,global_viterbi_support_rate_count_median,global_viterbi_conditioned_transition_nll_mean,global_viterbi_conditioned_transition_nll_median,global_viterbi_conditioned_transition_nll_p90,global_viterbi_conditioned_rate_edge_mass_mean
084d66f9,3885,713,1,573,0.1,3885,0.0,0.001287001287001287,0.001287001287001287,0.03320257376026013,0.03320257376026015,41.0,0.3357963724306875,0.08446344624621543,0.16420486587912544,0.04316653147548404,3885,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,,,,,3885,0.0,0.0028314028314028314,0.0028314028314028314,0.03320257376026013,0.03320257376026015,41.0,,,,,3885,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.09588093883266899,0.08446344624462622,0.13055730139466698,0.03628751386514828
08fecf00,5574,1904,2,573,0.1,5574,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.19006092851261125,0.08446344624462622,0.09751806257509525,0.03952006468943963,5574,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,,,,,5574,0.0,0.000897021887334051,0.000897021887334051,0.03320257376026013,0.033202573760260146,41.0,,,,,5574,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.09144038857226404,0.08446344624462622,0.09489264604838503,0.03658551140167781
09053135,5907,2792,1,573,0.1,5907,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.2111952419570163,0.08446344624640982,0.12151368187260163,0.03967531252801626,5907,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,,,,,5907,0.0,0.0015236160487557136,0.0015236160487557136,0.03320257376026013,0.033202573760260146,41.0,,,,,5907,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.10101439604937047,0.08446344624621543,0.11861624795375278,0.03658642535363538
09441b8d,5488,2567,2,573,0.1,5488,0.0,0.00036443148688046647,0.00036443148688046647,0.033202573760260125,0.033202573760260146,41.0,0.2528875904757964,0.09171833263122271,0.13473402455403982,0.04037169471341473,5488,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,,,,,5488,0.0,0.002186588921282799,0.002186588921282799,0.033202573760260125,0.033202573760260146,41.0,,,,,5488,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.10513070109490029,0.0917183326288402,0.11861624795758453,0.036404932798943745
0955cd6c,5195,0,0,573,0.1,5195,0.0,0.0007699711260827719,0.0007699711260827719,0.03320257376026013,0.033202573760260146,41.0,0.2241996274120673,0.08446344624462622,0.12151368187598553,0.040246642000526855,5195,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,,,,,5195,0.0,0.0005774783445620789,0.0005774783445620789,0.03320257376026013,0.033202573760260146,41.0,,,,,5195,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.08677238999983922,0.08333162175851969,0.10479984329234181,0.03632874110758551
09ec2ca9,5885,2162,1,573,0.1,5885,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.17381619914027838,0.08446344624640982,0.1069220756806485,0.038720025660488155,5885,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,,,,,5885,0.0,0.001869158878504673,0.001869158878504673,0.033202573760260125,0.033202573760260146,41.0,,,,,5885,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.088705389931854,0.08446344624621532,0.1047998432919352,0.036266433312907055
0a57a29c,5821,0,0,573,0.1,5821,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.24001007059681131,0.08446344624621532,0.11543742972459732,0.04082921254040798,5821,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,,,,,5821,0.0,0.0003435835767050335,0.0003435835767050335,0.033202573760260125,0.033202573760260146,41.0,,,,,5821,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.0938344710422502,0.08446344624462622,0.10479984329504503,0.036452408490415894
0bbf5e67,4298,0,0,472,0.1,4298,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.25766177951126257,0.08333162176026289,0.15302664551007053,0.041042005065951584,4298,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,,,,,4298,0.0,0.0013959981386691485,0.0013959981386691485,0.03320257376026013,0.033202573760260146,41.0,,,,,4298,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.09133922711012256,0.07868061948121687,0.11861624795375278,0.036385185189730405
0be01c24,4738,0,0,573,0.1,4738,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.21237057499464387,0.09171833263122259,0.1385804819077512,0.039193314474921484,4738,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,,,,,4738,0.0,0.003588011819333052,0.003588011819333052,0.03320257376026013,0.033202573760260146,41.0,,,,,4738,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.10507507459685776,0.09171833263122259,0.1326456629720565,0.03633370784726135
0c1b160c,5054,444,2,573,0.1,5054,0.0,0.0003957261574990107,0.0003957261574990107,0.03320257376026013,0.033202573760260146,41.0,0.22000581431793578,0.08446344624621543,0.10692207568380399,0.04011763762147811,5054,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,,,,,5054,0.0,0.00850811238622873,0.00850811238622873,0.03320257376026013,0.033202573760260146,41.0,,,,,5054,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.09048215870478356,0.08446344624621543,0.10479984329234181,0.03635876161296521
